   0.000000000000000E+000,   2.816135186024940E+007,   1.741957864436760E+006,   1.000000000000000E+000,   9.381570518546904E+008,   3.975600108002702E+005,   8.882606072157844E+008,   4.940354966251271E+007,   9.533496559265345E+004,  -6.312465464805427E-026
   1.025849500829412E-003,   2.813520910239969E+007,   1.741957703110120E+006,   9.998538887825782E-001,   9.382941902225248E+008,   3.976186567924768E+005,   8.883904386658437E+008,   4.941078388904391E+007,   9.534901084471685E+004,   1.821114228830847E-026
   2.051699001658823E-003,   2.810906628952684E+007,   1.741957220922697E+006,   9.997073947816780E-001,   9.384318136675828E+008,   3.976785653081072E+005,   8.885207032690947E+008,   4.941806851027559E+007,   9.536332290418546E+004,  -2.729456443083182E-026
   3.077548502488235E-003,   2.808292336660933E+007,   1.741956417770180E+006,   9.995605166841424E-001,   9.385699238222039E+008,   3.977397378625589E+005,   8.886514025509473E+008,   4.942540363128785E+007,   9.537790210606949E+004,  -9.475109750311821E-027
   4.103398003317647E-003,   2.805678027862891E+007,   1.741955293541151E+006,   9.994132531709579E-001,   9.387085223289784E+008,   3.978021760109303E+005,   8.887825380458051E+008,   4.943278935836866E+007,   9.539274879344994E+004,  -3.987986030489264E-026
   5.129247504147057E-003,   2.803063697057214E+007,   1.741953848117027E+006,   9.992656029172357E-001,   9.388476108408033E+008,   3.978658813482840E+005,   8.889141112971153E+008,   4.944022579902203E+007,   9.540786331753164E+004,  -2.072447110495122E-026
   6.155097004976470E-003,   2.800449338743212E+007,   1.741952081372111E+006,   9.991175645921930E-001,   9.389871910209105E+008,   3.979308555095369E+005,   8.890461238573967E+008,   4.944771306196658E+007,   9.542324603762338E+004,  -8.579823789652437E-027
   7.180946505805882E-003,   2.797834947421001E+007,   1.741949993173513E+006,   9.989691368591351E-001,   9.391272645429311E+008,   3.979971001698209E+005,   8.891785772882941E+008,   4.945525125714604E+007,   9.543889732120911E+004,   3.548503208655165E-027
   8.206796006635294E-003,   2.795220517591673E+007,   1.741947583381229E+006,   9.988203183754355E-001,   9.392678330909163E+008,   3.980646170442819E+005,   8.893114731606028E+008,   4.946284049572527E+007,   9.545481754390932E+004,   7.220574531672173E-027
   9.232645507464705E-003,   2.792606043757452E+007,   1.741944851848058E+006,   9.986711077925176E-001,   9.394088983594036E+008,   3.981334078884508E+005,   8.894448130543244E+008,   4.947048089010126E+007,   9.547100708955557E+004,   1.242675565186073E-027
   1.025849500829411E-002,   2.789991520421861E+007,   1.741941798419654E+006,   9.985215037558354E-001,   9.395504620534447E+008,   3.982034744981274E+005,   8.895785985586948E+008,   4.947817255390117E+007,   9.548746635016716E+004,  -6.698091240568610E-026
   1.128434450912353E-002,   2.787376942089878E+007,   1.741938422934476E+006,   9.983715049048560E-001,   9.396925258886622E+008,   3.982748187096609E+005,   8.897128312722355E+008,   4.948591560199095E+007,   9.550419572600891E+004,  -2.241012670275522E-026
   1.231019400995294E-002,   2.784762303268104E+007,   1.741934725223805E+006,   9.982211098730399E-001,   9.398350915912902E+008,   3.983474423999556E+005,   8.898475128027881E+008,   4.949371015047657E+007,   9.552119562559204E+004,   7.761476466237218E-027
   1.333604351078235E-002,   2.782147598464921E+007,   1.741930705111751E+006,   9.980703172878217E-001,   9.399781608982146E+008,   3.984213474865400E+005,   8.899826447675555E+008,   4.950155631670702E+007,   9.553846646568830E+004,   1.656045879834273E-026
   1.436189301161176E-002,   2.779532822190652E+007,   1.741926362415189E+006,   9.979191257705927E-001,   9.401217355570339E+008,   3.984965359278696E+005,   8.901182287931511E+008,   4.950945421928333E+007,   9.555600867139205E+004,  -2.203709088581381E-026
   1.538774251244118E-002,   2.776917968957730E+007,   1.741921696943832E+006,   9.977675339366811E-001,   9.402658173260856E+008,   3.985730097231770E+005,   8.902542665156304E+008,   4.951740397805583E+007,   9.557382267608948E+004,  -1.479087014172692E-026
   1.641359201327059E-002,   2.774303033280849E+007,   1.741916708500154E+006,   9.976155403953331E-001,   9.404104079745090E+008,   3.986507709128049E+005,   8.903907595805409E+008,   4.952540571413378E+007,   9.559190892152605E+004,  -4.588340548379347E-027
   1.743944151410000E-002,   2.771688009677136E+007,   1.741911396879432E+006,   9.974631437496952E-001,   9.405555092822810E+008,   3.987298215781830E+005,   8.905277096429590E+008,   4.953345954988603E+007,   9.561026785780289E+004,  -9.871460305812070E-027
   1.846529101492941E-002,   2.769072892666302E+007,   1.741905761869700E+006,   9.973103425967942E-001,   9.407011230402716E+008,   3.988101638420521E+005,   8.906651183675379E+008,   4.954156560894789E+007,   9.562889994342127E+004,  -6.287052399776293E-026
   1.949114051575882E-002,   2.766457676770812E+007,   1.741899803251779E+006,   9.971571355275188E-001,   9.408472510502807E+008,   3.988917998684803E+005,   8.908029874285443E+008,   4.954972401622237E+007,   9.564780564528597E+004,  -4.553135293155501E-026
   2.051699001658823E-002,   2.763842356516042E+007,   1.741893520799249E+006,   9.970035211266017E-001,   9.409938951250923E+008,   3.989747318630384E+005,   8.909413185099041E+008,   4.955793489788618E+007,   9.566698543874142E+004,  -2.870044316592975E-026
   2.154283951741764E-002,   2.761226926430437E+007,   1.741886914278445E+006,   9.968494979725991E-001,   9.411410570885204E+008,   3.990589620729274E+005,   8.910801133052460E+008,   4.956619838139368E+007,   9.568643980759711E+004,  -2.692852303545806E-026
   2.256868901824706E-002,   2.758611381045677E+007,   1.741879983448443E+006,   9.966950646378734E-001,   9.412887387754576E+008,   3.991444927871097E+005,   8.912193735179446E+008,   4.957451459548159E+007,   9.570616924415424E+004,  -2.881701685872394E-026
