species,N[m^-3],Tperp[eV],Tpara/Tperp,source,charge,mass, kind
N:H+,1.d8,6.d-2,1.d0,I,1.d0,1.67262192369d-27, 1
N:O+,1.d11,6.d-2,1.d0,I,1.d0,2.677950266103d-26, 2
N:e-,1.d11,6.d-2,1.d0,I,-1.d0,9.1093837015d-31, 3
S:H+,1.d8,6.d-2,1.d0,M,1.d0,1.67262192369d-27, 1
S:O+,1.d11,6.d-2,1.d0,M,1.d0,2.677950266103d-26, 2
S:e-,1.d11,6.d-2,1.d0,M,-1.d0,9.1093837015d-31, 3
