grid,phi_e[V],distance[m],distance[RE]
80,0.0000000000000E+00,5.0330900000000E+07,7.9000000000000E+00
81,0.0000000000000E+00,5.0968000000000E+07,8.0000000000000E+00
82,0.0000000000000E+00,5.1605100000000E+07,8.1000000000000E+00
83,0.0000000000000E+00,5.2242200000000E+07,8.2000000000000E+00
84,0.0000000000000E+00,5.2879300000000E+07,8.3000000000000E+00
85,0.0000000000000E+00,5.3516400000000E+07,8.4000000000000E+00
86,0.0000000000000E+00,5.4153500000000E+07,8.5000000000000E+00
87,0.0000000000000E+00,5.4790600000000E+07,8.6000000000000E+00
88,0.0000000000000E+00,5.5427700000000E+07,8.7000000000000E+00
89,0.0000000000000E+00,5.6064800000000E+07,8.8000000000000E+00
90,0.0000000000000E+00,5.6701900000000E+07,8.9000000000000E+00
91,0.0000000000000E+00,5.7339000000000E+07,9.0000000000000E+00
92,0.0000000000000E+00,5.7976100000000E+07,9.1000000000000E+00
93,0.0000000000000E+00,5.8613200000000E+07,9.2000000000000E+00
94,0.0000000000000E+00,5.9250300000000E+07,9.3000000000000E+00
95,0.0000000000000E+00,5.9887400000000E+07,9.4000000000000E+00
96,0.0000000000000E+00,6.0524500000000E+07,9.5000000000000E+00
97,0.0000000000000E+00,6.1161600000000E+07,9.6000000000000E+00
98,0.0000000000000E+00,6.1798700000000E+07,9.7000000000000E+00
99,0.0000000000000E+00,6.2435800000000E+07,9.8000000000000E+00
100,0.0000000000000E+00,6.3072900000000E+07,9.9000000000000E+00
101,0.0000000000000E+00,6.3710000000000E+07,1.0000000000000E+01
102,0.0000000000000E+00,6.4347100000000E+07,1.0100000000000E+01
103,0.0000000000000E+00,6.4984200000000E+07,1.0200000000000E+01
104,0.0000000000000E+00,6.5621300000000E+07,1.0300000000000E+01
105,0.0000000000000E+00,6.6258400000000E+07,1.0400000000000E+01
106,0.0000000000000E+00,6.6895500000000E+07,1.0500000000000E+01
107,0.0000000000000E+00,6.7532600000000E+07,1.0600000000000E+01
108,0.0000000000000E+00,6.8169700000000E+07,1.0700000000000E+01
109,0.0000000000000E+00,6.8806800000000E+07,1.0800000000000E+01
110,0.0000000000000E+00,6.9443900000000E+07,1.0900000000000E+01
111,0.0000000000000E+00,7.0081000000000E+07,1.1000000000000E+01
112,0.0000000000000E+00,7.0718100000000E+07,1.1100000000000E+01
113,0.0000000000000E+00,7.1355200000000E+07,1.1200000000000E+01
114,0.0000000000000E+00,7.1992300000000E+07,1.1300000000000E+01
115,0.0000000000000E+00,7.2629400000000E+07,1.1400000000000E+01
116,0.0000000000000E+00,7.3266500000000E+07,1.1500000000000E+01
117,0.0000000000000E+00,7.3903600000000E+07,1.1600000000000E+01
118,0.0000000000000E+00,7.4540700000000E+07,1.1700000000000E+01
119,0.0000000000000E+00,7.5177800000000E+07,1.1800000000000E+01
120,0.0000000000000E+00,7.5814900000000E+07,1.1900000000000E+01
121,0.0000000000000E+00,7.6452000000000E+07,1.2000000000000E+01
122,0.0000000000000E+00,7.7089100000000E+07,1.2100000000000E+01
123,0.0000000000000E+00,7.7726200000000E+07,1.2200000000000E+01
124,0.0000000000000E+00,7.8363300000000E+07,1.2300000000000E+01
125,0.0000000000000E+00,7.9000400000000E+07,1.2400000000000E+01
126,0.0000000000000E+00,7.9637500000000E+07,1.2500000000000E+01
127,0.0000000000000E+00,8.0274600000000E+07,1.2600000000000E+01
128,0.0000000000000E+00,8.0911700000000E+07,1.2700000000000E+01
129,0.0000000000000E+00,8.1548800000000E+07,1.2800000000000E+01
130,0.0000000000000E+00,8.2185900000000E+07,1.2900000000000E+01
131,0.0000000000000E+00,8.2823000000000E+07,1.3000000000000E+01
132,0.0000000000000E+00,8.3460100000000E+07,1.3100000000000E+01
133,0.0000000000000E+00,8.4097200000000E+07,1.3200000000000E+01
134,0.0000000000000E+00,8.4734300000000E+07,1.3300000000000E+01
135,0.0000000000000E+00,8.5371400000000E+07,1.3400000000000E+01
136,0.0000000000000E+00,8.6008500000000E+07,1.3500000000000E+01
137,0.0000000000000E+00,8.6645600000000E+07,1.3600000000000E+01
138,0.0000000000000E+00,8.7282700000000E+07,1.3700000000000E+01
139,0.0000000000000E+00,8.7919800000000E+07,1.3800000000000E+01
140,0.0000000000000E+00,8.8556900000000E+07,1.3900000000000E+01
141,0.0000000000000E+00,8.9194000000000E+07,1.4000000000000E+01
142,0.0000000000000E+00,8.9831100000000E+07,1.4100000000000E+01
143,0.0000000000000E+00,9.0468200000000E+07,1.4200000000000E+01
144,0.0000000000000E+00,9.1105300000000E+07,1.4300000000000E+01
145,0.0000000000000E+00,9.1742400000000E+07,1.4400000000000E+01
146,0.0000000000000E+00,9.2379500000000E+07,1.4500000000000E+01
147,0.0000000000000E+00,9.3016600000000E+07,1.4600000000000E+01
148,0.0000000000000E+00,9.3653700000000E+07,1.4700000000000E+01
149,0.0000000000000E+00,9.4290800000000E+07,1.4800000000000E+01
150,0.0000000000000E+00,9.4927900000000E+07,1.4900000000000E+01
151,0.0000000000000E+00,9.5565000000000E+07,1.5000000000000E+01
152,0.0000000000000E+00,9.6202100000000E+07,1.5100000000000E+01
153,0.0000000000000E+00,9.6839200000000E+07,1.5200000000000E+01
154,0.0000000000000E+00,9.7476300000000E+07,1.5300000000000E+01
155,0.0000000000000E+00,9.8113400000000E+07,1.5400000000000E+01
156,0.0000000000000E+00,9.8750500000000E+07,1.5500000000000E+01
157,0.0000000000000E+00,9.9387600000000E+07,1.5600000000000E+01
158,0.0000000000000E+00,1.0002470000000E+08,1.5700000000000E+01
159,0.0000000000000E+00,1.0066180000000E+08,1.5800000000000E+01
160,0.0000000000000E+00,1.0129890000000E+08,1.5900000000000E+01
161,0.0000000000000E+00,1.0193600000000E+08,1.6000000000000E+01
162,0.0000000000000E+00,1.0257310000000E+08,1.6100000000000E+01
163,0.0000000000000E+00,1.0321020000000E+08,1.6200000000000E+01
164,0.0000000000000E+00,1.0384730000000E+08,1.6300000000000E+01
165,0.0000000000000E+00,1.0448440000000E+08,1.6400000000000E+01
166,0.0000000000000E+00,1.0512150000000E+08,1.6500000000000E+01
167,0.0000000000000E+00,1.0575860000000E+08,1.6600000000000E+01
168,0.0000000000000E+00,1.0639570000000E+08,1.6700000000000E+01
169,0.0000000000000E+00,1.0703280000000E+08,1.6800000000000E+01
170,0.0000000000000E+00,1.0766990000000E+08,1.6900000000000E+01
171,0.0000000000000E+00,1.0830700000000E+08,1.7000000000000E+01
172,0.0000000000000E+00,1.0894410000000E+08,1.7100000000000E+01
173,0.0000000000000E+00,1.0958120000000E+08,1.7200000000000E+01
174,0.0000000000000E+00,1.1021830000000E+08,1.7300000000000E+01
175,0.0000000000000E+00,1.1085540000000E+08,1.7400000000000E+01
176,0.0000000000000E+00,1.1149250000000E+08,1.7500000000000E+01
177,0.0000000000000E+00,1.1212960000000E+08,1.7600000000000E+01
178,0.0000000000000E+00,1.1276670000000E+08,1.7700000000000E+01
179,0.0000000000000E+00,1.1340380000000E+08,1.7800000000000E+01
180,0.0000000000000E+00,1.1371352467238E+08,1.7848614765716E+01
181,0.0000000000000E+00,1.1402324934476E+08,1.7897229531432E+01
182,0.0000000000000E+00,1.1433297401713E+08,1.7945844297149E+01
183,0.0000000000000E+00,1.1464269868951E+08,1.7994459062865E+01
184,0.0000000000000E+00,1.1495242336189E+08,1.8043073828581E+01
185,0.0000000000000E+00,1.1526214803427E+08,1.8091688594297E+01
186,0.0000000000000E+00,1.1557187270664E+08,1.8140303360013E+01
187,0.0000000000000E+00,1.1588159737902E+08,1.8188918125729E+01
188,0.0000000000000E+00,1.1619132205140E+08,1.8237532891446E+01
189,0.0000000000000E+00,1.1650104672378E+08,1.8286147657162E+01
190,0.0000000000000E+00,1.1681077139616E+08,1.8334762422878E+01
191,0.0000000000000E+00,1.1712049606853E+08,1.8383377188594E+01
192,0.0000000000000E+00,1.1743022074091E+08,1.8431991954310E+01
193,0.0000000000000E+00,1.1773994541329E+08,1.8480606720026E+01
194,0.0000000000000E+00,1.1804967008567E+08,1.8529221485743E+01
195,0.0000000000000E+00,1.1835939475804E+08,1.8577836251459E+01
196,0.0000000000000E+00,1.1866911943042E+08,1.8626451017175E+01
197,0.0000000000000E+00,1.1897884410280E+08,1.8675065782891E+01
198,0.0000000000000E+00,1.1928856877518E+08,1.8723680548607E+01
199,0.0000000000000E+00,1.1959829344755E+08,1.8772295314323E+01
200,1.0000000000000E+04,1.1990801811993E+08,1.8820910080040E+01
201,1.0000000000000E+04,1.2021774279231E+08,1.8869524845756E+01
202,1.0000000000000E+04,1.2052746746469E+08,1.8918139611472E+01
203,1.0000000000000E+04,1.2083719213707E+08,1.8966754377188E+01
204,1.0000000000000E+04,1.2114691680944E+08,1.9015369142904E+01
205,1.0000000000000E+04,1.2145664148182E+08,1.9063983908620E+01
206,1.0000000000000E+04,1.2176636615420E+08,1.9112598674337E+01
207,1.0000000000000E+04,1.2207609082658E+08,1.9161213440053E+01
208,1.0000000000000E+04,1.2238581549895E+08,1.9209828205769E+01
209,1.0000000000000E+04,1.2269554017133E+08,1.9258442971485E+01
210,1.0000000000000E+04,1.2300526484371E+08,1.9307057737201E+01
211,1.0000000000000E+04,1.2331498951609E+08,1.9355672502918E+01
212,1.0000000000000E+04,1.2362471418847E+08,1.9404287268634E+01
213,1.0000000000000E+04,1.2393443886084E+08,1.9452902034350E+01
214,1.0000000000000E+04,1.2424416353322E+08,1.9501516800066E+01
215,1.0000000000000E+04,1.2455388820560E+08,1.9550131565782E+01
216,1.0000000000000E+04,1.2486361287798E+08,1.9598746331498E+01
217,1.0000000000000E+04,1.2517333755035E+08,1.9647361097215E+01
218,1.0000000000000E+04,1.2548306222273E+08,1.9695975862931E+01
219,1.0000000000000E+04,1.2579278689511E+08,1.9744590628647E+01
