   0.000000000000000E+000,  -9.659128246406213E-028,  -3.837709985176561E-027,  -1.343101037941786E-026,  -1.534188995166168E-026,  -5.260525710448891E-031,  -9.659128246406213E-028,  -3.837709985176561E-027,  -1.343101037941786E-026,  -1.534188995166168E-026,  -5.260525710448891E-031
  -1.864047179563476E-001,  -2.650524495831557E-020,  -1.651523572391916E-020,   1.685660584232186E-020,   2.350390885663323E-020,   2.986715831634282E-020,  -2.650524495831557E-020,  -1.651523572391916E-020,   1.685660584232186E-020,   2.350390885663323E-020,   2.986715831634282E-020
  -3.576139344036768E-001,  -5.080853574741071E-020,  -3.152017022400146E-020,   3.291303130925525E-020,   4.574741486952641E-020,   5.729960219051196E-020,  -5.080853574741071E-020,  -3.152017022400146E-020,   3.291303130925525E-020,   4.574741486952641E-020,   5.729960219051196E-020
  -5.132999275309439E-001,  -7.283428713106724E-020,  -4.487060283528707E-020,   4.854268838711509E-020,   6.714958639383332E-020,   8.224483736859370E-020,  -7.283428713106724E-020,  -4.487060283528707E-020,   4.854268838711509E-020,   6.714958639383332E-020,   8.224483736859370E-020
  -6.498411570730085E-001,  -9.198215294747824E-020,  -5.590639319636712E-020,   6.460546125224353E-020,   8.861009437224660E-020,   1.041226400844324E-019,  -9.198215294747824E-020,  -5.590639319636712E-020,   6.460546125224353E-020,   8.861009437224660E-020,   1.041226400844324E-019
  -7.587898907239936E-001,  -1.068810509853523E-019,  -6.320411310300116E-020,   8.269964102865766E-020,   1.117620606950572E-019,   1.215795439956318E-019,  -1.068810509853523E-019,  -6.320411310300116E-020,   8.269964102865766E-020,   1.117620606950572E-019,   1.215795439956318E-019
  -8.290776253633775E-001,  -1.157421323843855E-019,  -6.492889195583506E-020,   1.048138349287770E-019,   1.386247152135169E-019,   1.328421878250967E-019,  -1.157421323843855E-019,  -6.492889195583506E-020,   1.048138349287770E-019,   1.386247152135169E-019,   1.328421878250967E-019
  -8.630211429760000E-001,  -1.189229229246964E-019,  -6.139763164718857E-020,   1.307668460346831E-019,   1.690438919448625E-019,   1.382817684104832E-019,  -1.189229229246964E-019,  -6.139763164718857E-020,   1.307668460346831E-019,   1.690438919448625E-019,   1.382817684104832E-019
  -8.772303237490515E-001,  -1.190725123371984E-019,  -5.522342766226096E-020,   1.580658184162248E-019,   2.005506853530237E-019,   1.405594885381224E-019,  -1.190725123371984E-019,  -5.522342766226096E-020,   1.580658184162248E-019,   2.005506853530237E-019,   1.405594885381224E-019
  -8.827662526702622E-001,  -1.179523170230755E-019,  -4.813569113899996E-020,   1.850882552083995E-019,   2.315438947177552E-019,   1.414475352621053E-019,  -1.179523170230755E-019,  -4.813569113899996E-020,   1.850882552083995E-019,   2.315438947177552E-019,   1.414475352621053E-019
  -8.853208153389922E-001,  -1.164646738068975E-019,  -4.100820546909448E-020,   2.110557563786238E-019,   2.612641193202883E-019,   1.418578544238871E-019,  -1.164646738068975E-019,  -4.100820546909448E-020,   2.110557563786238E-019,   2.612641193202883E-019,   1.418578544238871E-019
  -8.865508833785234E-001,  -1.148664477616225E-019,  -3.407228147887477E-020,   2.358223756132315E-019,   2.895824165169894E-019,   1.420559108045020E-019,  -1.148664477616225E-019,  -3.407228147887477E-020,   2.358223756132315E-019,   2.895824165169894E-019,   1.420559108045020E-019
  -8.872515252341451E-001,  -1.132773077238076E-019,  -2.742464969347317E-020,   2.593680083117222E-019,   3.164939447469703E-019,   1.421690926143114E-019,  -1.132773077238076E-019,  -2.742464969347317E-020,   2.593680083117222E-019,   3.164939447469703E-019,   1.421690926143114E-019
  -8.877339425174754E-001,  -1.117401687365719E-019,  -2.108757681911644E-020,   2.817393639831272E-019,   3.420591528210833E-019,   1.422472636307141E-019,  -1.117401687365719E-019,  -2.108757681911644E-020,   2.817393639831272E-019,   3.420591528210833E-019,   1.422472636307141E-019
  -8.881714296502919E-001,  -1.102765272506044E-019,  -1.506392252485394E-020,   3.029958395298963E-019,   3.663498384646270E-019,   1.423181920949123E-019,  -1.102765272506044E-019,  -1.506392252485394E-020,   3.029958395298963E-019,   3.663498384646270E-019,   1.423181920949123E-019
  -8.885439890915598E-001,  -1.088775071944232E-019,  -9.327946737226697E-021,   3.232195095882449E-019,   3.894592975377961E-019,   1.423786771367364E-019,  -1.088775071944232E-019,  -9.327946737226697E-021,   3.232195095882449E-019,   3.894592975377961E-019,   1.423786771367364E-019
  -8.888254253668680E-001,  -1.075337666018067E-019,  -3.855010702190813E-021,   3.424861121622479E-019,   4.114734464520536E-019,   1.424245245805332E-019,  -1.075337666018067E-019,  -3.855010702190813E-021,   3.424861121622479E-019,   4.114734464520536E-019,   1.424245245805332E-019
  -8.936602513998044E-001,  -1.069847608738807E-019,   6.293373751089730E-022,   3.601165563352391E-019,   4.317224480705446E-019,   1.431998699820553E-019,  -1.069847608738807E-019,   6.293373751089730E-022,   3.601165563352391E-019,   4.317224480705446E-019,   1.431998699820553E-019
  -9.101209477782211E-001,  -1.083593642977939E-019,   3.008894824509042E-021,   3.750369692472178E-019,   4.491408611648914E-019,   1.458378519767029E-019,  -1.083593642977939E-019,   3.008894824509042E-021,   3.750369692472178E-019,   4.491408611648914E-019,   1.458378519767029E-019
  -9.252497445028939E-001,  -1.095776217290862E-019,   5.375186813974644E-021,   3.893775259795049E-019,   4.658665594531554E-019,   1.482624090517095E-019,  -1.095776217290862E-019,   5.375186813974644E-021,   3.893775259795049E-019,   4.658665594531554E-019,   1.482624090517095E-019
