  -9.659128246406213E-028,  -3.837709985176561E-027,  -1.343101037941786E-026,  -1.534188995166168E-026,  -5.260525710448891E-031,  -9.659128246406213E-028
,  -3.837709985176561E-027,  -1.343101037941786E-026,  -1.534188995166168E-026,  -5.260525710448891E-031,
   3.360083399386467E-021,   1.335009263378287E-020,   4.672193420002390E-020,   5.336923721433526E-020,   1.829958640790733E-024,   3.360083399386467E-021
,   1.335009263378287E-020,   4.672193420002390E-020,   5.336923721433526E-020,   1.829958640790733E-024,
   6.487533222027254E-021,   2.577589874543650E-020,   9.020910027869321E-020,   1.030434838389644E-019,   3.533221073986869E-024,   6.487533222027254E-021
,   2.577589874543650E-020,   9.020910027869321E-020,   1.030434838389644E-019,   3.533221073986869E-024,
   9.405427881329913E-021,   3.736911217711008E-020,   1.307824033995122E-019,   1.493893014062305E-019,   5.122356196550494E-024,   9.405427881329913E-021
,   3.736911217711008E-020,   1.307824033995122E-019,   1.493893014062305E-019,   5.122356196550494E-024,
   1.213387881991156E-020,   4.820963857102268E-020,   1.687214930196333E-019,   1.927261261396364E-019,   6.608317042624356E-024,   1.213387881991156E-020
,   4.820963857102268E-020,   1.687214930196333E-019,   1.927261261396364E-019,   6.608317042624356E-024,
   1.469049231798729E-020,   5.836743020033842E-020,   2.042711843319972E-019,   2.333336039983968E-019,   8.000692292244690E-024,   1.469049231798729E-020
,   5.836743020033842E-020,   2.042711843319972E-019,   2.333336039983968E-019,   8.000692292244690E-024,
   1.709074752855543E-020,   6.790398795710586E-020,   2.376467148417179E-019,   2.714575951264578E-019,   9.307912155740993E-024,   1.709074752855543E-020
,   6.790398795710586E-020,   2.376467148417179E-019,   2.714575951264578E-019,   9.307912155740993E-024,
   1.934830806771564E-020,   7.687359934522346E-020,   2.690380770270951E-019,   3.073151229372746E-019,   1.053741807112951E-023,   1.934830806771564E-020
,   7.687359934522346E-020,   2.690380770270951E-019,   3.073151229372746E-019,   1.053741807112951E-023,
   2.147528039750017E-020,   8.532436507243760E-020,   2.986136111509234E-019,   3.410984780877223E-019,   1.169580342380339E-023,   2.147528039750017E-020
,   8.532436507243760E-020,   2.986136111509234E-019,   3.410984780877223E-019,   1.169580342380339E-023,
   2.348242930812791E-020,   9.329905519220346E-020,   3.265230015396029E-019,   3.729786410489586E-019,   1.278893090183789E-023,   2.348242930812791E-020
,   9.329905519220346E-020,   3.265230015396029E-019,   3.729786410489586E-019,   1.278893090183789E-023,
   2.537935858609869E-020,   1.008358269239017E-019,   3.528997887716200E-019,   4.031081517132845E-019,   1.382203089091120E-023,   2.537935858609869E-020
,   1.008358269239017E-019,   3.528997887716200E-019,   4.031081517132845E-019,   1.382203089091120E-023,
   2.717466325849037E-020,   1.079688295412381E-019,   3.778634866333444E-019,   4.316235275371023E-019,   1.479978438914134E-023,   2.717466325849037E-020
,   1.079688295412381E-019,   3.778634866333444E-019,   4.316235275371023E-019,   1.479978438914134E-023,
   2.887605849729329E-020,   1.147287165276277E-019,   4.015213745328230E-019,   4.586473109680711E-019,   1.572639321058194E-023,   2.887605849729329E-020
,   1.147287165276277E-019,   4.015213745328230E-019,   4.586473109680711E-019,   1.572639321058194E-023,
   3.049048925444790E-020,   1.211430811719034E-019,   4.239700219741469E-019,   4.842898108121031E-019,   1.660563969433077E-023,   3.049048925444790E-020
,   1.211430811719034E-019,   4.239700219741469E-019,   4.842898108121031E-019,   1.660563969433077E-023,
   3.202422390660286E-020,   1.272368286323533E-019,   4.452965906871036E-019,   5.086505896218343E-019,   1.744093770505980E-023,   3.202422390660286E-020
,   1.272368286323533E-019,   4.452965906871036E-019,   5.086505896218343E-019,   1.744093770505980E-023,
   3.348293456594155E-020,   1.330324950231381E-019,   4.655799513486097E-019,   5.318197392981609E-019,   1.823537637165890E-023,   3.348293456594155E-020
,   1.330324950231381E-019,   4.655799513486097E-019,   5.318197392981609E-019,   1.823537637165890E-023,
   3.487176622098396E-020,   1.385505221205999E-019,   4.848916449850385E-019,   5.538789792748443E-019,   1.899175774249411E-023,   3.487176622098396E-020
,   1.385505221205999E-019,   4.848916449850385E-019,   5.538789792748443E-019,   1.899175774249411E-023,
   3.619539647885252E-020,   1.438094947278422E-019,   5.032967136879724E-019,   5.749026054232778E-019,   1.971262932206291E-023,   3.619539647885252E-020
,   1.438094947278422E-019,   5.032967136879724E-019,   5.749026054232778E-019,   1.971262932206291E-023,
   3.745808736662608E-020,   1.488263464889290E-019,   5.208544209116377E-019,   5.949583128293114E-019,   2.040031228289384E-023,   3.745808736662608E-020
,   1.488263464889290E-019,   5.208544209116377E-019,   5.949583128293114E-019,   2.040031228289384E-023,
   3.866373039661440E-020,   1.536165389396753E-019,   5.376188781052055E-019,   6.141079115788561E-019,   2.105692600886240E-023,   3.866373039661440E-020
,   1.536165389396753E-019,   5.376188781052055E-019,   6.141079115788561E-019,   2.105692600886240E-023,
   3.981588589593603E-020,   1.581942177696931E-019,   5.536395915902724E-019,   6.324079514416534E-019,   2.168440951474893E-023,   3.981588589593603E-020
,   1.581942177696931E-019,   5.536395915902724E-019,   6.324079514416534E-019,   2.168440951474893E-023,
   4.091781743443206E-020,   1.625723496094252E-019,   5.689619412807423E-019,   6.499102687004126E-019,   2.228454019626679E-023,   4.091781743443206E-020
,   1.625723496094252E-019,   5.689619412807423E-019,   6.499102687004126E-019,   2.228454019626679E-023,
   4.197252204931052E-020,   1.667628421169851E-019,   5.836276009562761E-019,   6.666624662181231E-019,   2.285895029091834E-023,   4.197252204931052E-020
