  -2.120288462760444E-018,  -1.154745187276894E-021,  -3.394686493489248E-017,  -6.789488461573265E-017,  -6.789372986978496E-017,  -2.120288462760444E-018,  -1.154745187276894E-021,  -1.154745187276894E-021
  -2.108777172075206E-018,  -1.148475942430456E-021,  -3.376256348865942E-017,  -6.752627545401754E-017,  -6.752512697731885E-017,  -2.108777172075206E-018,  -1.148475942430456E-021,  -1.148475942430456E-021
  -2.091636460745962E-018,  -1.139140819280194E-021,  -3.348813223904337E-017,  -6.697740361965617E-017,  -6.697626447808674E-017,  -2.091636460745962E-018,  -1.139140819280194E-021,  -1.139140819280194E-021
  -2.065284261798654E-018,  -1.124788963179940E-021,  -3.306622052556028E-017,  -6.613356584082441E-017,  -6.613244105112057E-017,  -2.065284261798654E-018,  -1.124788963179940E-021,  -1.124788963179940E-021
  -2.029754240940361E-018,  -1.105438709046808E-021,  -3.249736735279902E-017,  -6.499584014503504E-017,  -6.499473470559804E-017,  -2.029754240940361E-018,  -1.105438709046808E-021,  -1.105438709046808E-021
  -1.985310165269342E-018,  -1.081233708932220E-021,  -3.178579576220708E-017,  -6.357267275883510E-017,  -6.357159152441415E-017,  -1.985310165269342E-018,  -1.081233708932220E-021,  -1.081233708932220E-021
  -1.932316226648984E-018,  -1.052372307924058E-021,  -3.093733664529466E-017,  -6.187572566359025E-017,  -6.187467329058932E-017,  -1.932316226648984E-018,  -1.052372307924058E-021,  -1.052372307924058E-021
  -1.871207987284143E-018,  -1.019091720613006E-021,  -2.995896356796978E-017,  -5.991894622833126E-017,  -5.991792713593957E-017,  -1.871207987284143E-018,  -1.019091720613006E-021,  -1.019091720613006E-021
  -1.802477675506259E-018,  -9.816600229268234E-022,  -2.885855734879938E-017,  -5.771809635826815E-017,  -5.771711469759877E-017,  -1.802477675506259E-018,  -9.816600229268234E-022,  -9.816600229268234E-022
  -1.726662706805371E-018,  -9.403699004889923E-022,  -2.764472227506540E-017,  -5.529038492065054E-017,  -5.528944455013079E-017,  -1.726662706805371E-018,  -9.403699004889923E-022,  -9.403699004889923E-022
  -1.644335289189495E-018,  -8.955329875205096E-022,  -2.632661967943740E-017,  -5.265413489245205E-017,  -5.265323935887479E-017,  -1.644335289189495E-018,  -8.955329875205096E-022,  -8.955329875205096E-022
  -1.556092713110556E-018,  -8.474745785682638E-022,  -2.491381247689348E-017,  -4.982847242892360E-017,  -4.982762495378696E-017,  -1.556092713110556E-018,  -8.474745785682638E-022,  -8.474745785682638E-022
  -1.462548339165073E-018,  -7.965287202534272E-022,  -2.341612087335947E-017,  -4.683303827596373E-017,  -4.683224174671893E-017,  -1.462548339165073E-018,  -7.965287202534272E-022,  -7.965287202534272E-022
  -1.364323383060584E-018,  -7.430337372243375E-022,  -2.184349083896605E-017,  -4.368772471215865E-017,  -4.368698167793211E-017,  -1.364323383060584E-018,  -7.430337372243375E-022,  -7.430337372243375E-022
  -1.262039588715429E-018,  -6.873282418019297E-022,  -2.020587680075980E-017,  -4.041244093021404E-017,  -4.041175360151961E-017,  -1.262039588715429E-018,  -6.873282418019297E-022,  -6.873282418019297E-022
  -1.156312844225308E-018,  -6.297476571264496E-022,  -1.851313943117598E-017,  -3.702690861042380E-017,  -3.702627886235196E-017,  -1.156312844225308E-018,  -6.297476571264496E-022,  -6.297476571264496E-022
