species,N[m^-3],Tperp[eV],Tpara/Tperp,source,charge,mass,kind
Ionospheric:H+,1.d8,1.d-2,1.d0,I,1.d0,1.67262192369d-27,1
Ionospheric:O+,2.d11,1.d-1,1.d0,I,1.d0,2.677950266103d-26,2
Ionospheric:e-,2.d11,1.d-2,1.d0,I,-1.d0,9.1093837015d-31,3
Ionospheric:hot:e-,0.d0,1.d2,1.d0,I,-1.d0,9.1093837015d-31,3
Mag:H+,5.d5,5.d3,1.d0,M,1.d0,1.67262192369d-27,1
Mag:hot:e-,5.d5,1.d3,1.d0,M,-1.d0,9.1093837015d-31,3
