species,N[m^-3],Tperp[eV],Tpara/Tperp,source,charge,mass,kind
N:H+,7.2d8,1.35d-1,1.d0,I,1.d0,1.67262189821d-27,1
N:He+,1.2d8,1.35d-1,1.d0,I,1.d0,6.64556638280897d-27,2
N:N+,6.36d9,1.35d-1,1.d0,I,1.d0,2.325779481662744d-26,3
N:O+,1.128d11,1.35d-1,1.d0,I,1.d0,2.656676762004189d-26,4
N:e-,1.2d11,1.8d-1,1.d0,I,-1.d0,9.1093837015d-31,5
S:H+,7.2d8,1.35d-1,1.d0,M,1.d0,1.67262189821d-27,1
S:He+,1.2d8,1.35d-1,1.d0,M,1.d0,6.64556638280897d-27,2
S:N+,6.36d9,1.35d-1,1.d0,M,1.d0,2.325779481662744d-26,3
S:O+,1.128d11,1.35d-1,1.d0,M,1.d0,2.656676762004189d-26,4
S:e-,1.2d11,1.8d-1,1.d0,M,-1.d0,9.1093837015d-31,5
