570E+03  0.6651777E+02
  0.4169446E+02  0.8464812E+02  0.2696324E+03  0.6664233E+02
  0.4161221E+02  0.8300829E+02  0.2666741E+03  0.6645905E+02
  0.4197776E+02  0.8340698E+02  0.2726966E+03  0.6611150E+02
  0.4101318E+02  0.8556190E+02  0.2741945E+03  0.6647067E+02
  0.4184401E+02  0.8529592E+02  0.2766233E+03  0.6623438E+02
  0.4198633E+02  0.8558500E+02  0.2740387E+03  0.6648684E+02
  0.4120566E+02  0.8583041E+02  0.2762875E+03  0.6635481E+02
  0.4114355E+02  0.8556171E+02  0.2761166E+03  0.6632188E+02
  0.4126353E+02  0.8899872E+02  0.2783894E+03  0.6651883E+02
  0.4180632E+02  0.8810712E+02  0.2782442E+03  0.6647845E+02
  0.4131333E+02  0.8975266E+02  0.2779127E+03  0.6657528E+02
  0.4116772E+02  0.8866370E+02  0.2781358E+03  0.6652304E+02
  0.4105075E+02  0.8947504E+02  0.2779891E+03  0.6656495E+02
  0.4134938E+02  0.9158551E+02  0.2766145E+03  0.6662793E+02
  0.4106088E+02  0.9226748E+02  0.2767116E+03  0.6656730E+02
  0.4184375E+02  0.9121003E+02  0.2780367E+03  0.6653729E+02
  0.4196850E+02  0.9053831E+02  0.2778957E+03  0.6657202E+02
  0.4139513E+02  0.9093922E+02  0.2786777E+03  0.6649859E+02
  0.4103569E+02  0.9351985E+02  0.2733351E+03  0.6668490E+02
  0.4123243E+02  0.9457116E+02  0.2761989E+03  0.6629167E+02
  0.4140787E+02  0.9473642E+02  0.2733117E+03  0.6648396E+02
  0.4146811E+02  0.9398861E+02  0.2718689E+03  0.6672770E+02
  0.4141620E+02  0.9429703E+02  0.2713163E+03  0.6671872E+02
  0.4199426E+02  0.9783978E+02  0.2630435E+03  0.6647834E+02
  0.4174673E+02  0.9600658E+02  0.2667211E+03  0.6671465E+02
  0.4101392E+02  0.9654947E+02  0.2708893E+03  0.6625988E+02
  0.4174075E+02  0.9662217E+02  0.2646275E+03  0.6671596E+02
  0.4162385E+02  0.9563798E+02  0.2706802E+03  0.6649834E+02
  0.4189965E+02  0.9994830E+02  0.2589081E+03  0.6603183E+02
  0.4177791E+02  0.9893970E+02  0.2591992E+03  0.6639124E+02
  0.4130835E+02  0.9876527E+02  0.2567385E+03  0.6663482E+02
  0.4114112E+02  0.9973532E+02  0.2568118E+03  0.6626697E+02
  0.4164615E+02  0.9970425E+02  0.2512396E+03  0.6668299E+02
  0.4173780E+02  0.1016458E+03  0.2367373E+03  0.6685893E+02
  0.4193936E+02  0.1007790E+03  0.2448406E+03  0.6669108E+02
  0.4116070E+02  0.1013617E+03  0.2402041E+03  0.6675249E+02
  0.4183906E+02  0.1011053E+03  0.2364574E+03  0.6713463E+02
  0.4112214E+02  0.1017242E+03  0.2422472E+03  0.6643916E+02
  0.4166512E+02  0.1027933E+03  0.2209251E+03  0.6734710E+02
  0.4189764E+02  0.1027102E+03  0.2233986E+03  0.6722654E+02
  0.4151686E+02  0.1030283E+03  0.2232081E+03  0.6706683E+02
  0.4170501E+02  0.1031270E+03  0.2292080E+03  0.6661402E+02
  0.4197220E+02  0.1042292E+03  0.2293871E+03  0.6599108E+02
  0.4184686E+02  0.1061488E+03  0.2091920E+03  0.6607586E+02
  0.4104309E+02  0.1058237E+03  0.2133396E+03  0.6603573E+02
  0.4105811E+02  0.1052844E+03  0.2119158E+03  0.6646395E+02
  0.4143217E+02  0.1061941E+03  0.2124366E+03  0.6585215E+02
  0.4124676E+02  0.1064078E+03  0.2049171E+03  0.6615873E+02
  0.4126523E+02  0.1074123E+03  0.1799083E+03  0.6686937E+02
  0.4191891E+02  0.1070485E+03  0.1799409E+03  0.6713349E+02
  0.4178032E+02  0.1077908E+03  0.1888806E+03  0.6610640E+02
  0.4192491E+02  0.1079613E+03  0.1856497E+03  0.6615707E+02
  0.4198013E+02  0.1068746E+03  0.1851004E+03  0.6697365E+02
  0.4132658E+02  0.1087841E+03  0.1576583E+03  0.6695244E+02
  0.4131844E+02  0.1091271E+03  0.1575534E+03  0.6668237E+02
  0.4122383E+02  0.1089997E+03  0.1717423E+03  0.6609360E+02
  0.4142722E+02  0.1097242E+03  0.1585544E+03  0.6615311E+02
  0.4153876E+02  0.1090150E+03  0.1617903E+03  0.6656965E+02
  0.4139252E+02  0.1100606E+03  0.1362743E+03  0.6685343E+02
  0.4141253E+02  0.1104081E+03  0.1233632E+03  0.6706653E+02
  0.4192083E+02  0.1108646E+03  0.1342339E+03  0.6624474E+02
  0.4194412E+02  0.1099690E+03  0.1271173E+03  0.6730428E+02
  0.4137836E+02  0.1099796E+03  0.1421951E+03  0.6667234E+02
  0.4149629E+02  0.1120309E+03  0.9665146E+02  0.6649622E+02
  0.4152396E+02  0.1113721E+03  0.9937348E+02  0.6702505E+02
  0.4101295E+02  0.1118119E+03  0.1061277E+03  0.6640856E+02
  0.4197178E+02  0.1115472E+03  0.1059863E+03  0.6665551E+02
  0.4164825E+02  0.1116933E+03  0.1047287E+03  0.6656189E+02
  0.4142304E+02  0.1124076E+03  0.7358248E+02  0.6673950E+02
  0.4160423E+02  0.1121779E+03  0.9142925E+02  0.6650764E+02
  0.4171992E+02  0.1123852E+03  0.7552233E+02  0.6671651E+02
  0.4123709E+02  0.1128219E+03  0.9046154E+02  0.6592871E+02
  0.4117393E+02  0.1128278E+03  0.8262748E+02  0.6612419E+02
  0.4152139E+02  0.1129727E+03  0.6213507E+02  0.6643131E+02
  0.4136297E+02  0.1128835E+03  0.4425508E+02  0.6681038E+02
