   0.000000000000000E+000,  -2.120288462760174E-018,  -1.154745187276747E-021,  -3.394686493488815E-017,  -6.789488461572399E-017,  -6.789372986977631E-017,  -2.120288462760174E-018,  -1.154745187276747E-021,  -1.154745187276747E-021
  -1.490734635776943E-001,  -2.132661374084299E-018,   2.273572606693287E-020,  -3.378644769066446E-017,  -6.755015965601824E-017,  -6.754901117931956E-017,  -2.132661374084299E-018,   2.273572606693287E-020,   2.273572606693287E-020
  -3.522203088844719E-001,  -2.148068375637189E-018,   5.529277407221630E-020,  -3.354456415393054E-017,  -6.703383553453900E-017,  -6.703269639296959E-017,  -2.148068375637189E-018,   5.529277407221630E-020,   5.529277407221630E-020
  -6.612061993608095E-001,  -2.171221174085567E-018,   1.048121233240037E-019,  -3.317215743784314E-017,  -6.623950275310292E-017,  -6.623837796339910E-017,  -2.171221174085567E-018,   1.048121233240037E-019,   1.048121233240037E-019
  -1.071283814721801E+000,  -2.201392830573057E-018,   1.705331509239189E-019,  -3.266900594242766E-017,  -6.516747873465935E-017,  -6.516637329522236E-017,  -2.201392830573057E-018,   1.705331509239189E-019,   1.705331509239189E-019
  -1.577252965598781E+000,  -2.238013950008029E-018,   2.516225510300252E-019,  -3.203849954694170E-017,  -6.382537654356539E-017,  -6.382429530914445E-017,  -2.238013950008029E-018,   2.516225510300252E-019,   2.516225510300252E-019
  -2.169384465771304E+000,  -2.279889936770850E-018,   3.465213378142117E-019,  -3.128491035541247E-017,  -6.222329937370372E-017,  -6.222224700070280E-017,  -2.279889936770850E-018,   3.465213378142117E-019,   3.465213378142117E-019
  -2.836861496534631E+000,  -2.325723307648078E-018,   4.534962286435929E-019,  -3.041347888832966E-017,  -6.037346154868680E-017,  -6.037244245629512E-017,  -2.325723307648078E-018,   4.534962286435929E-019,   4.534962286435929E-019
  -3.569951679779904E+000,  -2.374446992091230E-018,   5.709876565623145E-019,  -2.943052666538030E-017,  -5.829006567484473E-017,  -5.828908401417535E-017,  -2.374446992091230E-018,   5.709876565623145E-019,   5.709876565623145E-019
  -4.357992621917231E+000,  -2.424890101803119E-018,   6.972870250975294E-019,  -2.834294967005909E-017,  -5.598861231563989E-017,  -5.598767194512016E-017,  -2.424890101803119E-018,   6.972870250975294E-019,   6.972870250975294E-019
  -5.180046211633363E+000,  -2.474270189521144E-018,   8.290393673443989E-019,  -2.715655457976499E-017,  -5.348406979277530E-017,  -5.348317425919806E-017,  -2.474270189521144E-018,   8.290393673443989E-019,   8.290393673443989E-019
  -6.044942493137879E+000,  -2.524599274748207E-018,   9.676590870593534E-019,  -2.588231903852707E-017,  -5.079697899055286E-017,  -5.079613151541623E-017,  -2.524599274748207E-018,   9.676590870593534E-019,   9.676590870593534E-019
  -6.926399460153425E+000,  -2.572279876445606E-018,   1.108935008560550E-018,  -2.452585241063594E-017,  -4.794276981323586E-017,  -4.794197328399108E-017,  -2.572279876445606E-018,   1.108935008560550E-018,   1.108935008560550E-018
  -7.827452103773574E+000,  -2.618419469502330E-018,   1.253353052704792E-018,  -2.309758692540374E-017,  -4.494182079859200E-017,  -4.494107776436547E-017,  -2.618419469502330E-018,   1.253353052704792E-018,   1.253353052704792E-018
  -8.714475089718748E+000,  -2.658252425347402E-018,   1.395525508390441E-018,  -2.160208963738772E-017,  -4.180865376683761E-017,  -4.180796643814319E-017,  -2.658252425347402E-018,   1.395525508390441E-018,   1.395525508390441E-018
  -9.583275519742784E+000,  -2.691722855716647E-018,   1.534780263834483E-018,  -2.004854944266326E-017,  -3.856231862190675E-017,  -3.856168887383492E-017,  -2.691722855716647E-018,   1.534780263834483E-018,   1.534780263834483E-018
  -1.044635072038811E+001,  -2.721437658557021E-018,   1.673119282215851E-018,  -1.844864866602970E-017,  -3.522417805021928E-017,  -3.522360742858190E-017,  -2.721437658557021E-018,   1.673119282215851E-018,   1.673119282215851E-018
  -1.127864571976149E+001,  -2.743971416836473E-018,   1.806527993793316E-018,  -1.680780054976112E-017,  -3.180907310606496E-017,  -3.180856283598565E-017,  -2.743971416836473E-018,   1.806527993793316E-018,   1.806527993793316E-018
  -1.204777958379022E+001,  -2.754705587340329E-018,   1.929818090836494E-018,  -1.512993434200602E-017,  -2.833005059347121E-017,  -2.832960158993894E-017,  -2.754705587340329E-018,   1.929818090836494E-018,   1.929818090836494E-018
  -1.276116681314483E+001,  -2.755375394568721E-018,   2.044177209254353E-018,  -1.342500036824233E-017,  -2.480582352748521E-017,  -2.480543640742498E-017,  -2.755375394568721E-018,   2.044177209254353E-018,   2.044177209254353E-018
  -1.344157159800333E+001,  -2.750151141807807E-018,   2.153252289529268E-018,  -1.170502058964405E-017,  -2.125678888997279E-017,  -2.125646398543219E-017,  -2.750151141807807E-018,   2.153252289529268E-018,   2.153252289529268E-018
  -1.398901076287450E+001,  -2.723511226617070E-018,   2.241023989975011E-018,  -9.961940648760991E-018,  -1.768285730771993E-017,  -1.768259467981678E-017,  -2.723511226617070E-018,   2.241023989975011E-018,   2.241023989975011E-018
  -1.454886021511081E+001,  -2.699218464768404E-018,   2.330783842252610E-018,  -8.226593717874376E-018,  -1.412240359362820E-017,  -1.412220304695048E-017,  -2.699218464768404E-018,   2.330783842252610E-018,   2.330783842252610E-018
  -1.496017379359025E+001,  -2.651930677784065E-018,   2.396745186553566E-018,  -6.480305871048332E-018,  -1.056386655563457E-017,  -1.056372765282972E-017,  -2.651930677784065E-018,   2.396745186553566E-018,   2.396745186553566E-018
