   0.000000000000000E+000,   5.514056920925763E+003,   0.000000000000000E+000,   1.751755047008071E+009,   3.159711810571039E+008,   5.363909394134585E+008,   6.256208241034906E+007,   2.664531530508631E+009,   2.165487710155706E+006,  -1.963350967939236E-015,   0.000000000000000E+000,   4.595310586523472E-006
  -1.491701216977073E-001,   5.527220619232856E+003,   0.000000000000000E+000,   1.717020497303453E+009,   3.026606564397236E+008,   5.137954681795127E+008,   5.482763005769400E+007,   2.586144944603760E+009,   2.163814736661967E+006,   1.633996793892224E-016,   1.885431285689527E-024,   3.940257811460022E-007
  -3.523937741350725E-001,   5.558587756198433E+003,   0.000000000000000E+000,   1.665940121203572E+009,   2.837651689522637E+008,   4.817191288657392E+008,   5.377182858803379E+007,   2.483038660651285E+009,   2.161491352040530E+006,   2.650311039089352E-016,   3.703223977778552E-024,   6.656178127939136E-007
  -6.617853535809712E-001,   5.608305858517011E+003,   0.000000000000000E+000,   1.590259989094255E+009,   2.569745481810816E+008,   4.362402114360448E+008,   5.258882480279184E+007,   2.333901525856838E+009,   2.157951897917246E+006,   1.554762664128457E-015,   3.528092262273065E-024,   4.154023137579719E-006
  -1.072323999482481E+000,   5.676616001992953E+003,   0.000000000000000E+000,   1.493438386416653E+009,   2.247832568457645E+008,   3.815931697833128E+008,   5.207148517262584E+007,   2.149739026415390E+009,   2.153255638164596E+006,  -4.922194169703080E-017,   3.354171015107117E-024,   1.427670056987237E-007
  -1.579023554268483E+000,   5.763853917641122E+003,   0.000000000000000E+000,   1.380392478489922E+009,   1.901058214325938E+008,   3.227255589946604E+008,   5.124479908284012E+007,   1.942341900789428E+009,   2.147462548095717E+006,  -2.393889588512377E-015,   3.011944580570754E-024,   7.684043573232626E-006
  -2.172072709916490E+000,   5.870456526897690E+003,   0.000000000000000E+000,   1.256449096876816E+009,   1.556437787981224E+008,   2.642234000624607E+008,   5.067405799329746E+007,   1.724860668104402E+009,   2.140685516263604E+006,  -8.250301940537809E-016,   2.663407821774650E-024,   2.981723847057179E-006
  -2.841479247379073E+000,   5.996969079101317E+003,   0.000000000000000E+000,   1.126952484452155E+009,   1.235499825309557E+008,   2.097413231159993E+008,   5.036501409955383E+007,   1.508474340143535E+009,   2.133039234880176E+006,   1.189101744349836E-015,   2.287214183153645E-024,   4.913103958807392E-006
  -3.576458051036477E+000,   6.144054319313319E+003,   0.000000000000000E+000,   9.968237729129561E+008,   9.525535065687628E+007,   1.617084538275782E+008,   5.033675572164435E+007,   1.302006667044049E+009,   2.124646271751342E+006,  -1.339647857551799E-016,   1.896762535737559E-024,   6.411491584150942E-007
  -4.365815241649429E+000,   6.312503131364300E+003,   0.000000000000000E+000,   8.702672168740245E+008,   7.146738754475385E+007,   1.213258912249430E+008,   5.065639916046198E+007,   1.111605988056967E+009,   2.115632379169768E+006,   2.542447923062379E-016,   1.332589136740060E-024,   1.424835451409842E-006
  -5.193376501757159E+000,   6.503247353872611E+003,   0.000000000000000E+000,   7.505241140287054E+008,   5.228189682008291E+007,   8.875633279457685E+007,   5.233557077583978E+007,   9.417910788216107E+008,   2.106174627749395E+006,   1.147834139653193E-015,   1.379754360298093E-024,   7.590010442609621E-006
  -6.060494013685690E+000,   6.717371425137955E+003,   0.000000000000000E+000,   6.401545466382697E+008,   3.738249004116812E+007,   6.346274400215948E+007,   5.270641843081519E+007,   7.915963033125210E+008,   2.096261569080026E+006,   3.260686156798505E-015,   7.949984652402491E-025,   2.564134051092380E-005
  -6.950403379289827E+000,   6.956132196980644E+003,   0.000000000000000E+000,   5.405054771650717E+008,   2.618044972491156E+007,   4.444577514675193E+007,   5.324524976716774E+007,   6.622962043103651E+008,   2.086072780495835E+006,   2.612902135616343E-016,   4.275514482251857E-025,   2.454676010559179E-006
  -7.852570240314154E+000,   7.220974551237429E+003,   0.000000000000000E+000,   4.522288657442747E+008,   1.799961978507097E+007,   3.055762623568539E+007,   5.400933740029903E+007,   5.527283044410836E+008,   2.075718919084409E+006,  -2.168097923987490E-016,  -5.448357048096643E-027,   2.439098997179386E-006
  -8.754580902097798E+000,   7.513552990889012E+003,   0.000000000000000E+000,   3.753110015406902E+008,   1.217574267262129E+007,   2.067068007962108E+007,   5.517463646189824E+007,   4.612713684986430E+008,   2.065327744403888E+006,   4.611168133384701E-016,  -1.031480009598246E-024,   6.211586216924466E-006
  -9.627020008116277E+000,   7.835757276833481E+003,   0.000000000000000E+000,   3.091563829849963E+008,   8.118617585684877E+006,   1.378302404373614E+007,   5.819425873426224E+007,   3.872045213618042E+008,   2.055200997551532E+006,   6.356581330949428E-017,   2.640218806882413E-025,   1.019233112543391E-006
  -1.050702837160494E+001,   8.189728557156342E+003,   0.000000000000000E+000,   2.532598878822280E+008,   5.352879931867610E+006,   9.087682394128188E+006,   5.884284311298095E+007,   3.245069316577623E+008,   2.044944701384667E+006,  -6.301511066624991E-017,  -1.032133017929295E-024,   1.204432282839837E-006
  -1.135744645819754E+001,   8.577908470920718E+003,   0.000000000000000E+000,   2.064162977332302E+008,   3.495417638933825E+006,   5.934279416329480E+006,   5.972931325935970E+007,   2.735476128277705E+008,   2.034937413826915E+006,   2.140050924690745E-016,  -1.784057594974959E-024,   4.846865262132239E-006
  -1.215671730183133E+001,   9.003063754327059E+003,   0.000000000000000E+000,   1.675010901254632E+008,   2.264646940743722E+006,   3.844791175109897E+006,   6.134033899919731E+007,   2.329364404812431E+008,   2.025390206536821E+006,  -3.140880655727910E-016,  -2.669518150287278E-024,   8.343447460846812E-006
