    0.000000000000000E+00,     0.538650891273532E-04,     0.000000000000000E+00
    0.224192794248474E-01,     0.539870288786474E-04,     0.499905816955228E+06
    0.448161458679353E-01,     0.543536482060713E-04,     0.999248696161407E+06
    0.671687203088779E-01,     0.549673681169721E-04,     0.149747636616392E+07
    0.894561618930750E-01,     0.558322926502983E-04,     0.199405727078291E+07
    0.111659115946780E+00,     0.569543116089100E-04,     0.248848945281932E+07
    0.133760085318236E+00,     0.583412431378148E-04,     0.298030784838689E+07
    0.155743712218991E+00,     0.600030156859008E-04,     0.346908972718364E+07
    0.177596965859353E+00,     0.619518897121874E-04,     0.395445818277253E+07
    0.199309238643793E+00,     0.642027208065688E-04,     0.443608373188551E+07
    0.220872359691334E+00,     0.667732676316354E-04,     0.491368420572686E+07
    0.242280538537208E+00,     0.696845501856796E-04,     0.538702320023431E+07
    0.263530253998367E+00,     0.729612662854280E-04,     0.585590739518942E+07
    0.284620103580741E+00,     0.766322768604428E-04,     0.632018305894983E+07
    0.305550627874110E+00,     0.807311736847764E-04,     0.677973203492060E+07
    0.326324122578795E+00,     0.852969466509295E-04,     0.723446746729511E+07
    0.346944448562151E+00,     0.903747717838042E-04,     0.768432947595523E+07
    0.367416847993823E+00,     0.960169461296310E-04,     0.812928094083336E+07
    0.387747772397643E+00,     0.102284001739598E-03,     0.856930350947468E+07
    0.407944726529728E+00,     0.109246038589442E-03,     0.900439390095090E+07
    0.428016130413236E+00,     0.116984325936046E-03,     0.943456054598100E+07
    0.447971200640579E+00,     0.125593233962921E-03,     0.985982057724910E+07
    0.467819851168061E+00,     0.135182573468995E-03,     0.102801971648753E+08
    0.487572613232015E+00,     0.145880441958247E-03,     0.106957171788060E+08
    0.507240573658544E+00,     0.157836701341935E-03,     0.111064091514247E+08
    0.526835330672014E+00,     0.171227247683357E-03,     0.115123015088544E+08
    0.546368966286946E+00,     0.186259279903264E-03,     0.119134210372462E+08
    0.565854034458855E+00,     0.203177836153172E-03,     0.123097915500190E+08
    0.585303564345233E+00,     0.222273949295842E-03,     0.127014327228638E+08
    0.593282733778115E+00,     0.230824413659341E-03,     0.128608816458349E+08
    0.601259146307251E+00,     0.239826983302040E-03,     0.130195364045688E+08
    0.609233778577422E+00,     0.249310992072538E-03,     0.131773975351215E+08
    0.617207623200824E+00,     0.259308098568047E-03,     0.133344653805159E+08
    0.625181689395621E+00,     0.269852502218959E-03,     0.134907400811542E+08
    0.633157003706238E+00,     0.280981182652147E-03,     0.136462215655875E+08
    0.641134610800573E+00,     0.292734165177443E-03,     0.138009095414555E+08
    0.649115574346703E+00,     0.305154815642301E-03,     0.139548034865468E+08
    0.657100977972051E+00,     0.318290168353537E-03,     0.141079026399324E+08
    0.665091926308519E+00,     0.332191291289629E-03,     0.142602059931242E+08
    0.673089546127590E+00,     0.346913693434677E-03,     0.144117122812129E+08
    0.681094987569997E+00,     0.362517779770161E-03,     0.145624199739352E+08
    0.689109425475144E+00,     0.379069360280522E-03,     0.147123272666261E+08
    0.697134060816176E+00,     0.396640220283885E-03,     0.148614320710055E+08
    0.705170122247316E+00,     0.415308760514866E-03,     0.150097320057522E+08
    0.713218867770893E+00,     0.435160716691945E-03,     0.151572243868149E+08
    0.721281586532403E+00,     0.456289969833404E-03,     0.153039062174087E+08
    0.729359600752922E+00,     0.478799460386361E-03,     0.154497741776455E+08
    0.737454267809267E+00,     0.502802221355665E-03,     0.155948246137420E+08
    0.745566982473564E+00,     0.528422548126700E-03,     0.157390535267489E+08
    0.753699179325192E+00,     0.555797325646341E-03,     0.158824565607411E+08
    0.761852335349625E+00,     0.585077537153724E-03,     0.160250289904046E+08
    0.770027972740370E+00,     0.616429982853627E-03,     0.161667657079534E+08
    0.778227661922138E+00,     0.650039241942381E-03,     0.163076612093035E+08
    0.786453024815508E+00,     0.686109917405677E-03,     0.164477095794277E+08
    0.794705738365798E+00,     0.724869210227090E-03,     0.165869044768072E+08
    0.802987538361614E+00,     0.766569878346327E-03,     0.167252391168902E+08
    0.811300223571665E+00,     0.811493646224565E-03,     0.168627062544608E+08
    0.819645660232006E+00,     0.859955143633080E-03,     0.169992981648108E+08
    0.828025786919936E+00,     0.912306467811465E-03,     0.171350066235980E+08
    0.836442619855438E+00,     0.968942482112433E-03,     0.172698228852652E+08
    0.844898258676385E+00,     0.103030698751013E-02,     0.174037376598767E+08
    0.853394892739901E+00,     0.109689993197730E-02,     0.175367410882202E+08
    0.861934808009364E+00,     0.116928585811403E-02,     0.176688227149990E+08
    0.870520394594749E+00,     0.124810383330977E-02,     0.177999714599272E+08
    0.879154155023580E+00,     0.133407916142937E-02,     0.179301755865118E+08
    0.887838713330861E+00,     0.142803724350256E-02,     0.180594226682865E+08
    0.896576825069375E+00,     0.153092004103699E-02,     0.181876995522287E+08
    0.905371388356968E+00,     0.164380570444889E-02,     0.183149923190622E+08
    0.914225456095401E+00,     0.176793206741487E-02,     0.184412862401048E+08
    0.923142249516500E+00,     0.190472488458977E-02,     0.185665657302823E+08
    0.932125173236521E+00,     0.205583191699378E-02,     0.186908142968717E+08
    0.941177832029477E+00,     0.222316426242644E-02,     0.188140144834829E+08
    0.950304049566008E+00,     0.240894670915257E-02,     0.189361478087140E+08
    0.959507889407213E+00,     0.261577938933590E-02,     0.190571946988350E+08
    0.968793678594703E+00,     0.284671366482620E-02,     0.191771344137570E+08
    0.978166034240810E+00,     0.310534604812085E-02,     0.192959449654317E+08
    0.987629893599372E+00,     0.339593512412056E-02,     0.194136030276864E+08
    0.997190548191033E+00,     0.372354800433065E-02,     0.195300838363412E+08
    0.100685368267234E+01,     0.409424497186523E-02,     0.196453610782593E+08
