grid,phi_e[V],distance[m],distance[RE]
1,0.00000000000000E+00,0.00000000000000E+00,0.00000000000000E+00
2,-1.51971528348059E-02,6.37100000000000E+05,1.00000000000000E-01
3,-2.43589384268025E-02,1.27420000000000E+06,2.00000000000000E-01
4,-3.95927250772388E-02,1.91130000000000E+06,3.00000000000000E-01
5,-4.59987502201911E-02,2.54840000000000E+06,4.00000000000000E-01
6,-4.89428932168634E-02,3.18550000000000E+06,5.00000000000000E-01
7,-5.11889594675207E-02,3.82260000000000E+06,6.00000000000000E-01
8,-5.31787920552406E-02,4.45970000000000E+06,7.00000000000000E-01
9,-4.18369537116944E-02,5.09680000000000E+06,8.00000000000000E-01
10,-3.04951153681481E-02,5.73390000000000E+06,9.00000000000000E-01
11,-4.91205283789221E-02,6.37100000000000E+06,1.00000000000000E+00
12,-1.77825667857222E-02,7.00810000000000E+06,1.10000000000000E+00
13,1.35553948074775E-02,7.64520000000000E+06,1.20000000000000E+00
14,2.59871315132474E-02,8.28230000000000E+06,1.30000000000000E+00
15,3.84188682190173E-02,8.91940000000000E+06,1.40000000000000E+00
16,4.76086465180232E-02,9.55650000000000E+06,1.50000000000000E+00
17,4.86392426030959E-02,1.01936000000000E+07,1.60000000000000E+00
18,6.54243195558501E-02,1.08307000000000E+07,1.70000000000000E+00
19,8.23173761726989E-02,1.14678000000000E+07,1.80000000000000E+00
20,9.09066875263477E-02,1.21049000000000E+07,1.90000000000000E+00
21,9.05263792922161E-02,1.27420000000000E+07,2.00000000000000E+00
22,9.02907779086833E-02,1.33791000000000E+07,2.10000000000000E+00
23,9.00351286583703E-02,1.40162000000000E+07,2.20000000000000E+00
24,8.97647545649908E-02,1.46533000000000E+07,2.30000000000000E+00
25,8.94833462192521E-02,1.52904000000000E+07,2.40000000000000E+00
26,8.89273079844334E-02,1.59275000000000E+07,2.50000000000000E+00
27,8.88636534274171E-02,1.65646000000000E+07,2.60000000000000E+00
28,8.90522592011835E-02,1.72017000000000E+07,2.70000000000000E+00
29,8.92408649749500E-02,1.78388000000000E+07,2.80000000000000E+00
30,9.39111492825624E-02,1.84759000000000E+07,2.90000000000000E+00
31,9.87867963364072E-02,1.91130000000000E+07,3.00000000000000E+00
32,1.03897510349149E-01,1.97501000000000E+07,3.10000000000000E+00
33,1.08812828419552E-01,2.03872000000000E+07,3.20000000000000E+00
34,1.09829513057271E-01,2.10243000000000E+07,3.30000000000000E+00
35,1.11069919758753E-01,2.16614000000000E+07,3.40000000000000E+00
36,1.15717042402557E-01,2.22985000000000E+07,3.50000000000000E+00
37,1.22614471222952E-01,2.29356000000000E+07,3.60000000000000E+00
38,1.29095320179440E-01,2.35727000000000E+07,3.70000000000000E+00
39,1.36405902771340E-01,2.42098000000000E+07,3.80000000000000E+00
40,1.44103636744634E-01,2.48469000000000E+07,3.90000000000000E+00
41,1.52066695969699E-01,2.54840000000000E+07,4.00000000000000E+00
42,1.60487673157814E-01,2.61211000000000E+07,4.10000000000000E+00
43,1.69032764653784E-01,2.67582000000000E+07,4.20000000000000E+00
44,1.78170394373176E-01,2.73953000000000E+07,4.30000000000000E+00
45,1.87723241345489E-01,2.80324000000000E+07,4.40000000000000E+00
46,1.97691466879456E-01,2.86695000000000E+07,4.50000000000000E+00
47,2.08121812710618E-01,2.93066000000000E+07,4.60000000000000E+00
48,2.18865660192162E-01,2.99437000000000E+07,4.70000000000000E+00
49,2.30235992104927E-01,3.05808000000000E+07,4.80000000000000E+00
50,2.42268565387129E-01,3.12179000000000E+07,4.90000000000000E+00
51,2.54156999427119E-01,3.18550000000000E+07,5.00000000000000E+00
52,2.67017577868094E-01,3.24921000000000E+07,5.10000000000000E+00
53,2.80506862749553E-01,3.31292000000000E+07,5.20000000000000E+00
54,2.93845759353133E-01,3.37663000000000E+07,5.30000000000000E+00
55,3.08437882848643E-01,3.44034000000000E+07,5.40000000000000E+00
56,3.23444480521475E-01,3.50405000000000E+07,5.50000000000000E+00
57,3.39184954474915E-01,3.56776000000000E+07,5.60000000000000E+00
58,3.54652004735610E-01,3.63147000000000E+07,5.70000000000000E+00
59,3.71448412933733E-01,3.69518000000000E+07,5.80000000000000E+00
60,3.88608482027025E-01,3.75889000000000E+07,5.90000000000000E+00
61,4.06538690227946E-01,3.82260000000000E+07,6.00000000000000E+00
62,4.25048896805975E-01,3.88631000000000E+07,6.10000000000000E+00
63,4.42313951457116E-01,3.95002000000000E+07,6.20000000000000E+00
64,4.63894669407494E-01,4.01373000000000E+07,6.30000000000000E+00
65,4.84391045311674E-01,4.07744000000000E+07,6.40000000000000E+00
66,5.05711314586590E-01,4.14115000000000E+07,6.50000000000000E+00
67,5.27767843193060E-01,4.20486000000000E+07,6.60000000000000E+00
68,5.71668233403172E-01,4.26857000000000E+07,6.70000000000000E+00
69,5.74169347163659E-01,4.33228000000000E+07,6.80000000000000E+00
