grid,phi_e[V],distance[m],distance[RE]
91,1.37090525781102E+00,5.73390000000000E+07,9.00000000000000E+00
92,1.42043777196940E+00,5.79761000000000E+07,9.10000000000000E+00
93,1.47180297159424E+00,5.86132000000000E+07,9.20000000000000E+00
94,1.52462111336900E+00,5.92503000000000E+07,9.30000000000000E+00
95,1.57916453920760E+00,5.98874000000000E+07,9.40000000000000E+00
96,1.63601743452509E+00,6.05245000000000E+07,9.50000000000000E+00
97,1.69490080999350E+00,6.11616000000000E+07,9.60000000000000E+00
98,1.75593449193347E+00,6.17987000000000E+07,9.70000000000000E+00
99,1.81924207824050E+00,6.24358000000000E+07,9.80000000000000E+00
100,1.88495075432500E+00,6.30729000000000E+07,9.90000000000000E+00
101,2.00072759624800E+00,6.37100000000000E+07,1.00000000000000E+01
102,2.02411456220221E+00,6.43471000000000E+07,1.01000000000000E+01
103,2.09785908969245E+00,6.49842000000000E+07,1.02000000000000E+01
104,2.17458606912960E+00,6.56213000000000E+07,1.03000000000000E+01
105,2.25446653228849E+00,6.62584000000000E+07,1.04000000000000E+01
106,2.33770048523624E+00,6.68955000000000E+07,1.05000000000000E+01
107,2.42546796496595E+00,6.75326000000000E+07,1.06000000000000E+01
108,2.51517221126418E+00,6.81697000000000E+07,1.07000000000000E+01
109,2.60884342079783E+00,6.88068000000000E+07,1.08000000000000E+01
110,2.70586524669143E+00,6.94439000000000E+07,1.09000000000000E+01
111,2.80908872014376E+00,7.00810000000000E+07,1.10000000000000E+01
112,2.91677348836717E+00,7.07181000000000E+07,1.11000000000000E+01
113,3.02923675337131E+00,7.13552000000000E+07,1.12000000000000E+01
114,3.14680061981745E+00,7.19923000000000E+07,1.13000000000000E+01
115,3.26979521474653E+00,7.26294000000000E+07,1.14000000000000E+01
116,3.39856139707773E+00,7.32665000000000E+07,1.15000000000000E+01
117,3.53345431293062E+00,7.39036000000000E+07,1.16000000000000E+01
118,3.67484917279962E+00,7.45407000000000E+07,1.17000000000000E+01
119,3.82315868687709E+00,7.51778000000000E+07,1.18000000000000E+01
120,3.97895456167396E+00,7.58149000000000E+07,1.19000000000000E+01
121,4.14397288997886E+00,7.64520000000000E+07,1.20000000000000E+01
122,4.31368189510358E+00,7.70891000000000E+07,1.21000000000000E+01
123,4.59920305628354E+00,7.77262000000000E+07,1.22000000000000E+01
124,4.67727659526260E+00,7.83633000000000E+07,1.23000000000000E+01
125,4.87719978206001E+00,7.90004000000000E+07,1.24000000000000E+01
126,5.08679607804675E+00,7.96375000000000E+07,1.25000000000000E+01
127,5.30685097320057E+00,8.02746000000000E+07,1.26000000000000E+01
128,5.53815880587835E+00,8.09117000000000E+07,1.27000000000000E+01
129,5.78153715798446E+00,8.15488000000000E+07,1.28000000000000E+01
130,6.03784263749336E+00,8.21859000000000E+07,1.29000000000000E+01
131,6.30799650318655E+00,8.28230000000000E+07,1.30000000000000E+01
132,6.59307088646397E+00,8.34601000000000E+07,1.31000000000000E+01
133,6.89871637559522E+00,8.40972000000000E+07,1.32000000000000E+01
134,7.21265793690493E+00,8.47343000000000E+07,1.33000000000000E+01
135,7.54543546114524E+00,8.53714000000000E+07,1.34000000000000E+01
136,7.89753024268817E+00,8.60085000000000E+07,1.35000000000000E+01
137,8.26708811499903E+00,8.66456000000000E+07,1.36000000000000E+01
138,8.66627028060564E+00,8.72827000000000E+07,1.37000000000000E+01
139,9.08801292337198E+00,8.79198000000000E+07,1.38000000000000E+01
140,9.53447644586686E+00,8.85569000000000E+07,1.39000000000000E+01
141,1.00079066138580E+01,8.91940000000000E+07,1.40000000000000E+01
142,1.05106964475187E+01,8.98311000000000E+07,1.41000000000000E+01
143,1.10455174837757E+01,9.04682000000000E+07,1.42000000000000E+01
144,1.16224011251303E+01,9.11053000000000E+07,1.43000000000000E+01
145,1.22234192108842E+01,9.17424000000000E+07,1.44000000000000E+01
146,1.28667258319700E+01,9.23795000000000E+07,1.45000000000000E+01
147,1.35547242851746E+01,9.30166000000000E+07,1.46000000000000E+01
148,1.42842357351882E+01,9.36537000000000E+07,1.47000000000000E+01
149,1.50791263785736E+01,9.42908000000000E+07,1.48000000000000E+01
150,1.59287133449490E+01,9.49279000000000E+07,1.49000000000000E+01
151,1.68390398090152E+01,9.55650000000000E+07,1.50000000000000E+01
152,1.78165368261254E+01,9.62021000000000E+07,1.51000000000000E+01
153,1.88683742488053E+01,9.68392000000000E+07,1.52000000000000E+01
154,2.00081252342448E+01,9.74763000000000E+07,1.53000000000000E+01
155,2.12238729850397E+01,9.81134000000000E+07,1.54000000000000E+01
156,2.25403636887533E+01,9.87505000000000E+07,1.55000000000000E+01
157,2.39658954165102E+01,9.93876000000000E+07,1.56000000000000E+01
158,2.55069822517703E+01,1.00024700000000E+08,1.57000000000000E+01
159,2.71929249134441E+01,1.00661800000000E+08,1.58000000000000E+01
160,2.90232201980162E+01,1.01298900000000E+08,1.59000000000000E+01
161,3.10156583048997E+01,1.01936000000000E+08,1.60000000000000E+01
162,3.31918162653242E+01,1.02573100000000E+08,1.61000000000000E+01
163,3.55686029137194E+01,1.03210200000000E+08,1.62000000000000E+01
164,3.81668100003478E+01,1.03847300000000E+08,1.63000000000000E+01
165,4.10220131030156E+01,1.04484400000000E+08,1.64000000000000E+01
166,4.41563740255563E+01,1.05121500000000E+08,1.65000000000000E+01
167,4.76341293087529E+01,1.05758600000000E+08,1.66000000000000E+01
168,5.14753643670384E+01,1.06395700000000E+08,1.67000000000000E+01
169,5.57337018444208E+01,1.07032800000000E+08,1.68000000000000E+01
170,6.04706305141120E+01,1.07669900000000E+08,1.69000000000000E+01
171,6.91407543209902E+01,1.08307000000000E+08,1.70000000000000E+01
172,7.16488196162783E+01,1.08944100000000E+08,1.71000000000000E+01
173,7.82719884823563E+01,1.09581200000000E+08,1.72000000000000E+01
174,9.07646021007323E+01,1.10218300000000E+08,1.73000000000000E+01
175,9.42254302256329E+01,1.10855400000000E+08,1.74000000000000E+01
176,1.03848479910025E+02,1.11492500000000E+08,1.75000000000000E+01
177,1.22223073122651E+02,1.12129600000000E+08,1.76000000000000E+01
178,1.33572130389187E+02,1.12766700000000E+08,1.77000000000000E+01
179,1.41936497043270E+02,1.13403800000000E+08,1.78000000000000E+01
180,1.49818820161181E+02,1.13713524672380E+08,1.78486147657160E+01
181,1.65132520393488E+02,1.14023249344760E+08,1.78972295314320E+01
182,1.78880884215059E+02,1.14332974017130E+08,1.79458442971490E+01
183,1.88601137661115E+02,1.14642698689510E+08,1.79944590628650E+01
184,1.98969119283020E+02,1.14952423361890E+08,1.80430738285810E+01
185,2.10068600657945E+02,1.15262148034270E+08,1.80916885942970E+01
186,2.12089001723763E+02,1.15571872706640E+08,1.81403033600130E+01
