  -9.659128366776835E-028,  -1.546474136354725E-026,  -5.260525710448891E-031,  -9.659128366776835E-028,  -1.546474136354725E-026,  -5.260525710448891E-031
   3.360083450572533E-021,   5.379659469450236E-020,   1.829958640790733E-024,   3.360083450572533E-021,   5.379659469450236E-020,   1.829958640790733E-024
   6.487533320855542E-021,   1.038686109327662E-019,   3.533221073986869E-024,   6.487533320855542E-021,   1.038686109327662E-019,   3.533221073986869E-024
   9.405428024608147E-021,   1.505855455113606E-019,   5.122356196550494E-024,   9.405428024608147E-021,   1.505855455113606E-019,   5.122356196550494E-024
   1.213387900475383E-020,   1.942693925591785E-019,   6.608317042624356E-024,   1.213387900475383E-020,   1.942693925591785E-019,   6.608317042624356E-024
   1.469049254177591E-020,   2.352020373178140E-019,   8.000692292244690E-024,   1.469049254177591E-020,   2.352020373178140E-019,   8.000692292244690E-024
   1.709074778890851E-020,   2.736313086715785E-019,   9.307912155740993E-024,   1.709074778890851E-020,   2.736313086715785E-019,   9.307912155740993E-024
   1.934830836245943E-020,   3.097759678623832E-019,   1.053741807112951E-023,   1.934830836245943E-020,   3.097759678623832E-019,   1.053741807112951E-023
   2.147528072464533E-020,   3.438298453264760E-019,   1.169580342380339E-023,   2.147528072464533E-020,   3.438298453264760E-019,   1.169580342380339E-023
   2.348242966584910E-020,   3.759652906717518E-019,   1.278893090183789E-023,   2.348242966584910E-020,   3.759652906717518E-019,   1.278893090183789E-023
   2.537935897271688E-020,   4.063360652631690E-019,   1.382203089091120E-023,   2.537935897271688E-020,   4.063360652631690E-019,   1.382203089091120E-023
   2.717466367245747E-020,   4.350797797291366E-019,   1.479978438914134E-023,   2.717466367245747E-020,   4.350797797291366E-019,   1.479978438914134E-023
   2.887605893717871E-020,   4.623199577835710E-019,   1.572639321058194E-023,   2.887605893717871E-020,   4.623199577835710E-019,   1.572639321058194E-023
   3.049048971892687E-020,   4.881677915369960E-019,   1.660563969433077E-023,   3.049048971892687E-020,   4.881677915369960E-019,   1.660563969433077E-023
   3.202422439444606E-020,   5.127236407953685E-019,   1.744093770505980E-023,   3.202422439444606E-020,   5.127236407953685E-019,   1.744093770505980E-023
   3.348293507600612E-020,   5.360783188760743E-019,   1.823537637165890E-023,   3.348293507600612E-020,   5.360783188760743E-019,   1.823537637165890E-023
   3.487176675220539E-020,   5.583141995863132E-019,   1.899175774249411E-023,   3.487176675220539E-020,   5.583141995863132E-019,   1.899175774249411E-023
   3.619539703023757E-020,   5.795061737262814E-019,   1.971262932206291E-023,   3.619539703023757E-020,   5.795061737262814E-019,   1.971262932206291E-023
   3.745808793724643E-020,   5.997224784544316E-019,   2.040031228289384E-023,   3.745808793724643E-020,   5.997224784544316E-019,   2.040031228289384E-023
   3.866373098560100E-020,   6.190254188047746E-019,   2.105692600886240E-023,   3.866373098560100E-020,   6.190254188047746E-019,   2.105692600886240E-023
   3.981588650247405E-020,   6.374719973728435E-019,   2.168440951474893E-023,   3.981588650247405E-020,   6.374719973728435E-019,   2.168440951474893E-023
   4.091781805775643E-020,   6.551144655235996E-019,   2.228454019626679E-023,   4.091781805775643E-020,   6.551144655235996E-019,   2.228454019626679E-023
   4.197252268870181E-020,   6.720008073029131E-019,   2.285895029091834E-023,   4.197252268870181E-020,   6.720008073029131E-019,   2.285895029091834E-023
   4.298275750810519E-020,   6.881751654476365E-019,   2.340914136926191E-023,   4.298275750810519E-020,   6.881751654476365E-019,   2.340914136926191E-023
   4.395106319110280E-020,   7.036782174208635E-019,   2.393649712622275E-023,   4.395106319110280E-020,   7.036782174208635E-019,   2.393649712622275E-023
   4.487978475970733E-020,   7.185475081825996E-019,   2.444229470070470E-023,   4.487978475970733E-020,   7.185475081825996E-019,   2.444229470070470E-023
   4.577109002102122E-020,   7.328177453946577E-019,   2.492771471735509E-023,   4.577109002102122E-020,   7.328177453946577E-019,   2.492771471735509E-023
   4.662698596259400E-020,   7.465210619184229E-019,   2.539385021575527E-023,   4.662698596259400E-020,   7.465210619184229E-019,   2.539385021575527E-023
   4.744933336423551E-020,   7.596872497571944E-019,   2.584171460826292E-023,   4.744933336423551E-020,   7.596872497571944E-019,   2.584171460826292E-023
   4.823985984871349E-020,   7.723439690042970E-019,   2.627224878764407E-023,   4.823985984871349E-020,   7.723439690042970E-019,   2.627224878764407E-023
   4.900017156259318E-020,   7.845169348590881E-019,   2.668632748865712E-023,   4.900017156259318E-020,   7.845169348590881E-019,   2.668632748865712E-023
   4.973176365217903E-020,   7.962300853519569E-019,   2.708476499342912E-023,   4.973176365217903E-020,   7.962300853519569E-019,   2.708476499342912E-023
   5.043602967714360E-020,   8.075057320611694E-019,   2.746832025827816E-023,   5.043602967714360E-020,   8.075057320611694E-019,   2.746832025827816E-023
   5.111427008555501E-020,   8.183646958022411E-019,   2.783770152935773E-023,   5.111427008555501E-020,   8.183646958022411E-019,   2.783770152935773E-023
   5.176769985772870E-020,   8.288264290097778E-019,   2.819357050562837E-023,   5.176769985772870E-020,   8.288264290097778E-019,   2.819357050562837E-023
   5.239745541255093E-020,   8.389091263111232E-019,   2.853654610015908E-023,   5.239745541255093E-020,   8.389091263111232E-019,   2.853654610015908E-023
   5.300460085805076E-020,   8.486298246011023E-019,   2.886720784429518E-023,   5.300460085805076E-020,   8.486298246011023E-019,   2.886720784429518E-023
   5.359013365774794E-020,   8.580044937630480E-019,   2.918609897364782E-023,   5.359013365774794E-020,   8.580044937630480E-019,   2.918609897364782E-023
