   1.433555154871178E+005,   1.433554990973899E+005,   4.781824734810035E-004
   1.459731381285169E+005,   1.459731208244830E+005,   4.869139197106922E-004
   1.502720131258200E+005,   1.502719942475224E+005,   5.012534179479670E-004
   1.571206503534190E+005,   1.571206287745681E+005,   5.240980037415354E-004
   1.667856473397551E+005,   1.667856215287734E+005,   5.563369493730674E-004
   1.795901008043290E+005,   1.795900685806098E+005,   5.990479873266520E-004
   1.959487202237286E+005,   1.959486783679183E+005,   6.536144360506838E-004
   2.163770930672532E+005,   2.163770367083835E+005,   7.217561047128927E-004
   2.415039870787584E+005,   2.415039087175179E+005,   8.055703279817598E-004
   2.720853713792678E+005,   2.720852593209991E+005,   9.075787334216365E-004
   3.090292424708703E+005,   3.090290782883250E+005,   1.030810048891640E-003
   3.533946104679301E+005,   3.533943649360375E+005,   1.178796715880149E-003
   4.064642903858784E+005,   4.064639167959233E+005,   1.355817686367291E-003
   4.697566649470135E+005,   4.697560882513965E+005,   1.566937645414004E-003
   5.450850006588195E+005,   5.450840996683103E+005,   1.818204845127592E-003
   6.346372183886393E+005,   6.346357963750322E+005,   2.116917151981963E-003
   7.408994401204236E+005,   7.408971775380010E+005,   2.471366966603279E-003
   8.669458294426987E+005,   8.669422044948761E+005,   2.891807920314246E-003
   1.016357610876531E+006,   1.016351770182098E+006,   3.390184586238318E-003
   1.193280962221132E+006,   1.193271509614751E+006,   3.980325314303773E-003
   1.402432195493734E+006,   1.402416850486754E+006,   4.677959078232563E-003
   1.649245671768209E+006,   1.649220715778380E+006,   5.501208158406642E-003
   1.939791087099559E+006,   1.939750482069116E+006,   6.470311144615639E-003
   2.280822548167292E+006,   2.280756542042076E+006,   7.607784923135311E-003
   2.679186451881176E+006,   2.679079469711749E+006,   8.936447192783446E-003
   3.142039574887933E+006,   3.141867019798256E+006,   1.048014029691920E-002
   3.680974473330196E+006,   3.680697034072638E+006,   1.227748375868962E-002
   4.300163551022420E+006,   4.299721251459091E+006,   1.434232628847218E-002
   5.011047728192576E+006,   5.010347848771852E+006,   1.671272146803590E-002
   5.824625418880375E+006,   5.823526388570392E+006,   1.942519310666045E-002
   6.752604945576751E+006,   6.750892655214069E+006,   2.251855400316331E-002
   7.806807065479538E+006,   7.804161441432842E+006,   2.603188049991852E-002
   9.000587178874543E+006,   8.996533515743254E+006,   3.000920562098748E-002
   1.035244128077019E+007,   1.034627435488896E+007,   3.451145643860380E-002
   1.188843694670215E+007,   1.187910029781995E+007,   3.962441342610411E-002
   1.362373915866167E+007,   1.360969338931183E+007,   4.539705061330072E-002
   1.557853465240963E+007,   1.555754380577527E+007,   5.189438023079043E-002
   1.778218864622197E+007,   1.775098968685716E+007,   5.921092813768238E-002
   2.026859068363934E+007,   2.022242561192250E+007,   6.745475101952865E-002
   2.307012465779719E+007,   2.300211747838296E+007,   7.672680504318412E-002
   2.624227426804638E+007,   2.614230973382417E+007,   8.720135892752905E-002
   2.983780792733466E+007,   2.969111223847608E+007,   9.903888989254052E-002
   3.390821241684216E+007,   3.369337960607561E+007,   1.123890168246848E-001
   3.859264044258711E+007,   3.827678752404232E+007,   1.276776199754909E-001
   4.390382424868422E+007,   4.344046513002801E+007,   1.449017944608467E-001
   4.994076427578423E+007,   4.926192298900615E+007,   1.643200876954888E-001
   5.700344284959815E+007,   5.600010685473659E+007,   1.867962497400004E-001
   6.507997465197380E+007,   6.359867478816585E+007,   2.121423441151607E-001
   7.450353209201355E+007,   7.230420179861230E+007,   2.411808565197871E-001
   8.562297576475021E+007,   8.233086352107592E+007,   2.746261999729023E-001
   9.890856028259347E+007,   9.392854218108502E+007,   3.133118918591508E-001
   1.149560426263605E+008,   1.073354978671962E+008,   3.580326822871447E-001
   1.349235058626162E+008,   1.230370509013421E+008,   4.104074255975517E-001
   1.599668320406860E+008,   1.411320485439961E+008,   4.707658407603974E-001
   1.928929064821993E+008,   1.622157070767505E+008,   5.410933555798474E-001
   2.550926171751456E+009,   2.977433454104429E+008,   9.931648961310524E-001
   2.799112213694298E+009,   2.980876532114978E+008,   9.943133833323380E-001
   3.089512308580474E+009,   2.983909407173251E+008,   9.953250415569997E-001
   3.433004638371414E+009,   2.986558569595872E+008,   9.962087070235341E-001
   3.844003939216732E+009,   2.988848698690546E+008,   9.969726118628862E-001
   4.342632153798932E+009,   2.990806266883160E+008,   9.976255863258443E-001
   4.957316107766802E+009,   2.992457572692227E+008,   9.981764026539411E-001
   5.729456554037629E+009,   2.993829007820837E+008,   9.986338641717389E-001
   5.784216607849682E+009,   2.993906032437626E+008,   9.986595568183458E-001
   5.839842827656885E+009,   2.993982073294403E+008,   9.986849213179348E-001
   5.896354357740124E+009,   2.994057136813074E+008,   9.987099598126227E-001
   5.953770881847645E+009,   2.994131229411812E+008,   9.987346744432817E-001
   6.012107439163828E+009,   2.994204351078746E+008,   9.987590652059518E-001
   6.071396859511199E+009,   2.994276523190642E+008,   9.987831392311550E-001
   6.131655745961762E+009,   2.994347745824358E+008,   9.988068965445283E-001
   6.192900534785691E+009,   2.994418018856829E+008,   9.988303371050211E-001
   6.255157492337088E+009,   2.994487353001202E+008,   9.988534644861554E-001
   6.318449947970763E+009,   2.994555754651611E+008,   9.988762808207839E-001
   6.382801904285853E+009,   2.994623230187778E+008,   9.988987882369535E-001
   2.707774406693895E+008,   2.009456025329526E+008,   6.702823809295183E-001
   1.837115598843507E+008,   1.566402025288329E+008,   5.224954742818544E-001
   1.346708871749645E+008,   1.228453978528413E+008,   4.097681398404001E-001
