species,N[m^-3],Tperp[eV],Tpara/Tperp,source,charge,mass, kind
Ionospheric:H+,3.d10,1.d-1,1.d0,I,1.d0,1.67262192369d-27, 1
Ionospheric:e-,3.d10,1.d-1,1.d0,I,-1.d0,9.1093837015d-31, 5
Io:O+,1.163d9,5.d1,1.d0,M,1.d0,2.677950266103d-26, 2
Io:S+,0.d0,5.d1,1.d0,M,1.d0,5.355991626103d-26, 3
Io:S2+,0.d0,5.d1,1.d0,M,2.d0,5.355900532206d-26, 4
Io:H+,0.d0,8.6d0,1.d0,M,1.d0,1.67262192369d-27, 1
Io:cold:e-,0.d0,5.d0,1.d0,M,-1.d0,9.1093837015d-31, 5
Io:hot:e-,2.d6,2.d2,1.d0,M,-1.d0,9.1093837015d-31, 5
