species,N[m^-3],Tperp[eV],Tpara/Tperp,source,charge,mass
Ionospheric:H+,1.d8,1.d-1,1.d0,I,1.d0,1.67262192369d-27
Ionospheric:O+,2.d11,1.d-1,1.d0,I,1.d0,2.677950266103d-26
Ionospheric:e-,2.d11,1.d-1,1.d0,I,-1.d0,9.1093837015d-31
Ionospheric:hot:e-,1.d8,1.d2,1.d0,I,-1.d0,9.1093837015d-31
Ionospheric:sp:e-,0.d6,1.d3,1.d0,I,-1.d0,9.1093837015d-31
Mag:H+,5.d5,4.d3,1.d0,M,1.d0,1.67262192369d-27
Mag:S+,0.d0,0.d0,1.d0,M,1.d0,5.355991626103d-26
Mag:hot:e-,5.d5,7.d3,1.d0,M,-1.d0,9.1093837015d-31
