   0.000000000000000E+000,   6.803923101482873E-020,   1.089341675013066E-018,   3.705532333940313E-023,   6.803923101482873E-020,   3.705532333940313E-023,
  -2.882312340161792E-009,   6.803878092740430E-020,   1.089334475823028E-018,   3.705554026298165E-023,   6.803878092740430E-020,   3.705554026298165E-023,
  -4.785859614652248E-009,   6.803743160825246E-020,   1.089312877135267E-018,   3.705511054879897E-023,   6.803743160825246E-020,   3.705511054879897E-023,
  -6.738887759520484E-009,   6.803518248081206E-020,   1.089276872191628E-018,   3.705419871573326E-023,   6.803518248081206E-020,   3.705419871573326E-023,
  -7.785115580677141E-009,   6.803203301209285E-020,   1.089226450158871E-018,   3.705265117692801E-023,   6.803203301209285E-020,   3.705265117692801E-023,
  -1.023802009882115E-008,   6.802798187108499E-020,   1.089161595290658E-018,   3.705083806924289E-023,   6.802798187108499E-020,   3.705083806924289E-023,
  -1.177554522312647E-008,   6.802302819565868E-020,   1.089082288199446E-018,   3.704838668612988E-023,   6.802302819565868E-020,   3.704838668612988E-023,
  -1.805190890601665E-008,   6.801716957235330E-020,   1.088988503842630E-018,   3.704620211213756E-023,   6.801716957235330E-020,   3.704620211213756E-023,
  -1.868988193389037E-008,   6.801040588335054E-020,   1.088880215377201E-018,   3.704262076219426E-023,   6.801040588335054E-020,   3.704262076219426E-023,
  -2.346373919864835E-008,   6.800273350992404E-020,   1.088757388372170E-018,   3.703920752984109E-023,   6.800273350992404E-020,   3.703920752984109E-023,
  -2.540780838694592E-008,   6.799415124378024E-020,   1.088619986730092E-018,   3.703484512547327E-023,   6.799415124378024E-020,   3.703484512547327E-023,
  -2.776274333186273E-008,   6.798465597054560E-020,   1.088467968381910E-018,   3.703005134570556E-023,   6.798465597054560E-020,   3.703005134570556E-023,
  -3.113184718348073E-008,   6.797424472837881E-020,   1.088301287357992E-018,   3.702492128993238E-023,   6.797424472837881E-020,   3.702492128993238E-023,
  -3.416205759628288E-008,   6.796291459976019E-020,   1.088119893693366E-018,   3.701923646667090E-023,   6.796291459976019E-020,   3.701923646667090E-023,
  -4.043167672226207E-008,   6.795066160891227E-020,   1.087923732339497E-018,   3.701356833008763E-023,   6.795066160891227E-020,   3.701356833008763E-023,
  -4.358384996338893E-008,   6.793748310469051E-020,   1.087712745562358E-018,   3.700689640125209E-023,   6.793748310469051E-020,   3.700689640125209E-023,
  -4.374436469741725E-008,   6.792337513122183E-020,   1.087486870328981E-018,   3.699923869006410E-023,   6.792337513122183E-020,   3.699923869006410E-023,
  -4.720293286855838E-008,   6.790833248007028E-020,   1.087246038376154E-018,   3.699160063169500E-023,   6.790833248007028E-020,   3.699160063169500E-023,
  -5.335233725111861E-008,   6.789235078395211E-020,   1.086990178321183E-018,   3.698388250773854E-023,   6.789235078395211E-020,   3.698388250773854E-023,
  -5.794231956154136E-008,   6.787542599656783E-020,   1.086719215159174E-018,   3.697540077719419E-023,   6.787542599656783E-020,   3.697540077719419E-023,
  -6.737527695532640E-008,   6.785755210336056E-020,   1.086433067991522E-018,   3.696717850019997E-023,   6.785755210336056E-020,   3.696717850019997E-023,
  -7.827963474152705E-008,   6.783872439541487E-020,   1.086131653317712E-018,   3.695867263218705E-023,   6.783872439541487E-020,   3.695867263218705E-023,
  -8.938700509182821E-008,   6.781893756772143E-020,   1.085814883151521E-018,   3.694967695514684E-023,   6.781893756772143E-020,   3.694967695514684E-023,
  -1.064578551980073E-007,   6.779818493118787E-020,   1.085482664250892E-018,   3.694111125732196E-023,   6.779818493118787E-020,   3.694111125732196E-023,
  -1.066345956397886E-007,   6.777646412507964E-020,   1.085134903848026E-018,   3.692931006895754E-023,   6.777646412507964E-020,   3.692931006895754E-023,
  -1.100388134514890E-007,   6.775376564703246E-020,   1.084771498196715E-018,   3.691749380431749E-023,   6.775376564703246E-020,   3.691749380431749E-023,
  -1.102637679783402E-007,   6.773008399050525E-020,   1.084392343726651E-018,   3.690463243239340E-023,   6.773008399050525E-020,   3.690463243239340E-023,
  -1.155758297817346E-007,   6.770541104466562E-020,   1.083997330459581E-018,   3.689204667576494E-023,   6.770541104466562E-020,   3.689204667576494E-023,
  -1.211369742849146E-007,   6.767974054587312E-020,   1.083586346476340E-018,   3.687895756400093E-023,   6.767974054587312E-020,   3.687895756400093E-023,
  -1.262114046820776E-007,   6.765306532185409E-020,   1.083159275175735E-018,   3.686524323911050E-023,   6.765306532185409E-020,   3.686524323911050E-023,
  -1.298711986100467E-007,   6.762537798064832E-020,   1.082715995977230E-018,   3.685075092478546E-023,   6.762537798064832E-020,   3.685075092478546E-023,
  -1.317659278557077E-007,   6.759667078814470E-020,   1.082256384211128E-018,   3.683542023353037E-023,   6.759667078814470E-020,   3.683542023353037E-023,
  -4.060549098814378E-007,   6.756689178005752E-020,   1.081780267241976E-018,   3.686317195234652E-023,   6.756689178005752E-020,   3.686317195234652E-023,
  -4.380462941101188E-007,   6.753611513179971E-020,   1.081287594848532E-018,   3.685153884215187E-023,   6.753611513179971E-020,   3.685153884215187E-023,
  -4.891593183825043E-007,   6.750429042446231E-020,   1.080778188498383E-018,   3.684240023413317E-023,   6.750429042446231E-020,   3.684240023413317E-023,
  -5.968243904900642E-007,   6.747140287895725E-020,   1.080251901589150E-018,   3.684174835789904E-023,   6.747140287895725E-020,   3.684174835789904E-023,
  -6.185840913145680E-007,   6.743746629061627E-020,   1.079708612388474E-018,   3.682675410135182E-023,   6.743746629061627E-020,   3.682675410135182E-023,
