grid,phi_e[V],distance[m],distance[Rj]
48,-1.91032345145161E+01,3.80698543661137E+08,5.32505096599811E+00
49,-1.89408913250106E+01,3.88759768355588E+08,5.43780798348889E+00
50,-1.87250395862002E+01,3.96820993050039E+08,5.55056500097967E+00
51,-1.84439527401906E+01,4.04882217744490E+08,5.66332201847046E+00
52,-1.80246516233276E+01,4.12943442438941E+08,5.77607903596124E+00
53,-1.74810603266713E+01,4.21004667133392E+08,5.88883605345203E+00
54,-1.66395099592300E+01,4.29065891827843E+08,6.00159307094281E+00
55,-1.54045398141100E+01,4.37127116522295E+08,6.11435008843360E+00
56,-1.63271228585828E+01,4.45188341216746E+08,6.22710710592438E+00
57,-1.60198259342287E+01,4.53249565911197E+08,6.33986412341516E+00
58,-1.57125290098747E+01,4.61310790605648E+08,6.45262114090595E+00
59,-1.54052320855207E+01,4.69372015300099E+08,6.56537815839673E+00
60,2.01674260158409E+04,4.77433239994550E+08,6.67813517588752E+00
61,2.01755954530369E+04,4.85494464689002E+08,6.79089219337830E+00
62,2.01871678438977E+04,4.93555689383453E+08,6.90364921086909E+00
63,2.02042794473663E+04,5.01616914077904E+08,7.01640622835987E+00
64,2.02056113702406E+04,5.02120740621307E+08,7.02345354195305E+00
65,2.02069813718451E+04,5.02624567164710E+08,7.03050085554622E+00
66,2.02083909682261E+04,5.03128393708113E+08,7.03754816913939E+00
67,2.02098417356898E+04,5.03632220251517E+08,7.04459548273257E+00
68,2.02113353271967E+04,5.04136046794920E+08,7.05164279632574E+00
69,2.02128735189957E+04,5.04639873338323E+08,7.05869010991892E+00
70,2.02144581636662E+04,5.05143699881726E+08,7.06573742351209E+00
71,2.02160912193072E+04,5.05647526425130E+08,7.07278473710526E+00
72,2.02177747867338E+04,5.06151352968533E+08,7.07983205069844E+00
73,2.99995973446531E+04,5.06655179511936E+08,7.08687936429161E+00
74,2.99996651860662E+04,5.07159006055339E+08,7.09392667788479E+00
75,2.99997256251186E+04,5.07662832598742E+08,7.10097399147796E+00
76,2.99998073527328E+04,5.08166659142146E+08,7.10802130507113E+00
77,2.99998735565754E+04,5.08670485685549E+08,7.11506861866431E+00
78,2.99999370171013E+04,5.09174312228952E+08,7.12211593225748E+00
79,3.00000000000000E+04,5.09678138772355E+08,7.12916324585066E+00
