   1.999999999988122E-007,   4.404390813173009E-008,   4.418719881168457E-002,   4.418722083363838E-002,   4.418717678973025E-002,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   4.230989457398859E-008,   8.168505892228849E-002,   8.168508007723597E-002,   8.168503776734140E-002,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.968033956969208E-008,   1.385705448481583E-001,   1.385705646883277E-001,   1.385705250079882E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.634015030562487E-008,   2.108699372818570E-001,   2.108699554519316E-001,   2.108699191117813E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.253672653524831E-008,   2.932578457796245E-001,   2.932578620479876E-001,   2.932578295112611E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   2.852547986709197E-008,   3.802285396556982E-001,   3.802285539184382E-001,   3.802285253929583E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   2.453629405207991E-008,   4.668167784473901E-001,   4.668167907155372E-001,   4.668167661792432E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   2.075223293207529E-008,   5.490566831520788E-001,   5.490566935281952E-001,   5.490566727759623E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   1.730015020129372E-008,   6.241863243042648E-001,   6.241863329543398E-001,   6.241863156541896E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   1.425159446011293E-008,   6.906317837128103E-001,   6.906317908386075E-001,   6.906317765870130E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   1.163094476286375E-008,   7.478359151799143E-001,   7.478359209953868E-001,   7.478359093644420E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   9.427214231472192E-009,   7.960075326997719E-001,   7.960075374133792E-001,   7.960075279861649E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   7.606424712314208E-009,   8.358572579659397E-001,   8.358572617691522E-001,   8.358572541627275E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   6.122431006616580E-009,   8.683654092557523E-001,   8.683654123169676E-001,   8.683654061945366E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   4.925163610280947E-009,   8.946043878745107E-001,   8.946043903370922E-001,   8.946043854119285E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.966116657316832E-009,   9.156194305019351E-001,   9.156194324849933E-001,   9.156194285188767E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.201468756763859E-009,   9.323599857636716E-001,   9.323599873644057E-001,   9.323599841629370E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   2.593427250729974E-009,   9.456489946205889E-001,   9.456489959173022E-001,   9.456489933238750E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   2.110431940316460E-009,   9.561771037707176E-001,   9.561771048259334E-001,   9.561771027155015E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   1.726700560311656E-009,   9.645111270249306E-001,   9.645111278882811E-001,   9.645111261615805E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   1.421481821139992E-009,   9.711091530470394E-001,   9.711091537577804E-001,   9.711091523362986E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   1.178244390942496E-009,   9.763375499813541E-001,   9.763375505704762E-001,   9.763375493922318E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   9.838980741250225E-010,   9.804872321359450E-001,   9.804872326278942E-001,   9.804872316439961E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   8.281149099786944E-010,   9.837882052155220E-001,   9.837882056295796E-001,   9.837882048014647E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   7.027954884719634E-010,   9.864211419462464E-001,   9.864211422976445E-001,   9.864211415948491E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   6.015419273808220E-010,   9.885287187581305E-001,   9.885287190589013E-001,   9.885287184573593E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   5.193915297851959E-010,   9.902217352657723E-001,   9.902217355254682E-001,   9.902217350060767E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   4.523870167361110E-010,   9.915879338218910E-001,   9.915879340480840E-001,   9.915879335956970E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.974706119791449E-010,   9.926954030576282E-001,   9.926954032563637E-001,   9.926954028588931E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.522478975170884E-010,   9.935971563400408E-001,   9.935971565161644E-001,   9.935971561639165E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   3.148181715317833E-010,   9.943350356164442E-001,   9.943350357738532E-001,   9.943350354590350E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
   1.999999999988122E-007,   2.837541313027714E-010,   9.949403489855375E-001,   9.949403491274142E-001,   9.949403488436601E-001,  -1.000000000000000E-002,  -2.000000000000000E-002,
