   0.160137114998922E+006,   0.160137092153220E+006,   0.534159842517521E-003
   0.161667838887741E+006,   0.161667815380623E+006,   0.539265785600992E-003
   0.165412337223625E+006,   0.165412312044989E+006,   0.551756082019212E-003
   0.171637328715067E+006,   0.171637300585456E+006,   0.572520408720408E-003
   0.180610056499824E+006,   0.180610023723952E+006,   0.602450191471967E-003
   0.192651483255664E+006,   0.192651443477426E+006,   0.642616044321657E-003
   0.208178819754964E+006,   0.208178769562552E+006,   0.694409629085971E-003
   0.227723999149729E+006,   0.227723933451325E+006,   0.759605278166554E-003
   0.251951583554986E+006,   0.251951494577599E+006,   0.840419723225990E-003
   0.281675963067108E+006,   0.281675838736609E+006,   0.939569462873577E-003
   0.317881142762415E+006,   0.317880964063248E+006,   0.106033676158473E-002
   0.361760135884402E+006,   0.361759872499881E+006,   0.120670104549422E-002
   0.414740871139929E+006,   0.414740474260598E+006,   0.138342531038789E-002
   0.478534223584627E+006,   0.478533613954001E+006,   0.159621631960468E-002
   0.555392488076040E+006,   0.555391535000147E+006,   0.185258674853037E-002
   0.647176571086928E+006,   0.647175063107418E+006,   0.215874364360233E-002
   0.757359247373760E+006,   0.757356830620476E+006,   0.252627045948059E-002
   0.889297523222932E+006,   0.889293610609148E+006,   0.296636418588338E-002
   0.104727602733098E+007,   0.104726963722426E+007,   0.349331548969208E-002
   0.123597866543750E+007,   0.123596816140674E+007,   0.412274601453362E-002
   0.146137492660298E+007,   0.146135756436064E+007,   0.487456413716931E-002
   0.172997459590528E+007,   0.172994579295800E+007,   0.577047803169885E-002
   0.204957736350281E+007,   0.204952946672230E+007,   0.683649442149176E-002
   0.242742935001876E+007,   0.242734978044342E+007,   0.809676733243042E-002
   0.287486936593512E+007,   0.287473718981724E+007,   0.958909109653865E-002
   0.339803123018233E+007,   0.339781297284508E+007,   0.113338840993961E-001
   0.400901710212870E+007,   0.400865868885754E+007,   0.133714460850697E-001
   0.472311333207548E+007,   0.472252728451657E+007,   0.157526554070836E-001
   0.554420434725925E+007,   0.554325650754030E+007,   0.184903134138895E-001
   0.648880754848615E+007,   0.648728815339379E+007,   0.216392640317649E-001
   0.757230171183545E+007,   0.756988733763601E+007,   0.252504262053050E-001
   0.881147623763285E+007,   0.880767265069236E+007,   0.293792335852971E-001
   0.102212146694102E+008,   0.102152791640177E+008,   0.340745035154209E-001
   0.118303998393615E+008,   0.118211991577686E+008,   0.394312760121824E-001
   0.136753947067115E+008,   0.136611887305463E+008,   0.455688205823587E-001
   0.157826475856151E+008,   0.157608219661858E+008,   0.525724431872994E-001
   0.181793702927087E+008,   0.181460376780408E+008,   0.605286663950726E-001
   0.209126060893036E+008,   0.208619103307228E+008,   0.695878424357254E-001
   0.239600096737251E+008,   0.238838517523417E+008,   0.796679539961666E-001
   0.275671366473745E+008,   0.274513229190960E+008,   0.915677569150053E-001
   0.316676087123486E+008,   0.314923988904568E+008,   0.105047335415145E+000
   0.363113345131245E+008,   0.360478782084153E+008,   0.120242778784032E+000
   0.416821267362317E+008,   0.412849930278626E+008,   0.137711913446010E+000
   0.479532367014679E+008,   0.473513083486682E+008,   0.157946963257722E+000
   0.552105994493039E+008,   0.542975023282597E+008,   0.181116972356455E+000
   0.638699055337257E+008,   0.624679565270760E+008,   0.208370673978316E+000
   0.741249770746338E+008,   0.719580382851484E+008,   0.240026179328195E+000
   0.865251886632545E+008,   0.831320008216385E+008,   0.277298506360819E+000
   0.102544100630397E+009,   0.970251679604101E+008,   0.323641123621629E+000
   0.122998069856517E+010,   0.291265524211345E+009,   0.971557210459727E+000
   0.132164518298152E+010,   0.292365247010789E+009,   0.975225490865382E+000
   0.142356319567338E+010,   0.293357900537787E+009,   0.978536626621165E+000
   0.153724200616916E+010,   0.294249131650442E+009,   0.981509453618215E+000
   0.166437230061756E+010,   0.295044385987325E+009,   0.984162136551563E+000
   0.180708316687200E+010,   0.295750215369102E+009,   0.986516529942530E+000
   0.196781705708770E+010,   0.296372805319013E+009,   0.988593266475748E+000
   0.214952889321629E+010,   0.296918598379981E+009,   0.990413836161218E+000
   0.235573319210729E+010,   0.297393937034376E+009,   0.991999395242880E+000
   0.259074961531809E+010,   0.297805236542761E+009,   0.993371342726578E+000
   0.285976097063165E+010,   0.298158612425877E+009,   0.994550077793742E+000
   0.316912030367434E+010,   0.298460005476184E+009,   0.995555416794987E+000
   0.352642931559467E+010,   0.298714962528045E+009,   0.996405861978171E+000
   0.394152383690316E+010,   0.298929033358296E+009,   0.997119925406183E+000
   0.396956553604507E+010,   0.298941137305575E+009,   0.997160299828408E+000
   0.399791208749458E+010,   0.298953116339828E+009,   0.997200257585626E+000
   0.402652915348878E+010,   0.298964955387994E+009,   0.997239748399521E+000
   0.405538679899259E+010,   0.298976642448211E+009,   0.997278732236189E+000
   0.408452739227889E+010,   0.298988194974910E+009,   0.997317267317346E+000
   0.411394774745690E+010,   0.298999611576079E+009,   0.997355348999737E+000
   0.414368086657662E+010,   0.299010904649604E+009,   0.997393018638261E+000
   0.417356327934680E+010,   0.299022013363759E+009,   0.997430073320120E+000
   0.420376468596530E+010,   0.299033002038424E+009,   0.997466727593339E+000
   0.423410103826506E+010,   0.299043805119614E+009,   0.997502762793367E+000
   0.426441431972968E+010,   0.299054371646136E+009,   0.997538008931954E+000
   0.172755302922046E+009,   0.149681764749091E+009,   0.499284624261933E+000
   0.129809866176309E+009,   0.119122293425055E+009,   0.397349200242571E+000
   0.103496954768317E+009,   0.978311254864447E+008,   0.326329508551028E+000
