   2.996277509250435E+010,   2.996277539213210E+010,   2.996277479287660E+010,   2.996282408326611E+010,   4.899076175308228E+004,   1.635054210037668E-006,   1.625054210252512E-006,   1.645054210265772E-006
   2.999994697644091E+004,   2.999994697654091E+004,   2.999994697634091E+004,   2.999994697621780E+004,  -2.231099642813206E-007,   6.769652300704509E-006,   9.803905331313359E-006,   3.735399271647332E-006
   2.999989450076665E+004,   2.999989450086665E+004,   2.999989450066665E+004,   2.999989450030420E+004,  -4.624453140422702E-007,   1.216592460519930E-005,   1.479679559263746E-005,   9.535183146303151E-006
   2.999984256222143E+004,   2.999984256232143E+004,   2.999984256212143E+004,   2.999984256134421E+004,  -8.772221917752177E-007,   2.161432239462337E-005,   2.407829593517763E-005,   1.915034885545858E-005
   2.999979114726267E+004,   2.999979114736267E+004,   2.999979114716266E+004,   2.999979114565715E+004,  -1.605516445124522E-006,   3.804494743544126E-005,   4.041460659911830E-005,   3.567528827429768E-005
   2.999974023774476E+004,   2.999974023784476E+004,   2.999974023764476E+004,   2.999974023487294E+004,  -2.871813194360584E-006,   6.626698348993780E-005,   6.857449839872546E-005,   6.395946858521410E-005
   2.999968980794356E+004,   2.999968980804356E+004,   2.999968980784356E+004,   2.999968980289726E+004,  -5.046305886935443E-006,   1.141504006342106E-004,   1.164124771962507E-004,   1.118883240799583E-004
   2.999963981980414E+004,   2.999963981990414E+004,   2.999963981970414E+004,   2.999963981106916E+004,  -8.734979928703979E-006,   1.944057524237182E-004,   1.966313702709567E-004,   1.921801345939122E-004
   2.999959021541406E+004,   2.999959021551406E+004,   2.999959021531406E+004,   2.999959020049014E+004,  -1.492391675128601E-005,   3.273244637258894E-004,   3.295178225692407E-004,   3.251312128883971E-004
   2.999954090516460E+004,   2.999954090526460E+004,   2.999954090506460E+004,   2.999954087995926E+004,  -2.520533962524496E-005,   5.446808258534370E-004,   5.468418163057472E-004,   5.425198354303351E-004
   2.999949174928389E+004,   2.999949174938389E+004,   2.999949174918389E+004,   2.999949170716330E+004,  -4.212059138808399E-005,   8.949426366435030E-004,   8.970673681700680E-004,   8.928179051734726E-004
   2.999944252934239E+004,   2.999944252944239E+004,   2.999944252924239E+004,   2.999944245963937E+004,  -6.970301546971314E-005,   1.449511431816296E-003,   1.451591001064238E-003,   1.447431862642749E-003
   2.999939290497795E+004,   2.999939290507795E+004,   2.999939290487795E+004,   2.999939279073699E+004,  -1.142409528256394E-004,   2.306951394673646E-003,   2.308970783508686E-003,   2.304932005951066E-003
   2.999934235049403E+004,   2.999934235059403E+004,   2.999934235039403E+004,   2.999934216516705E+004,  -1.853269823186565E-004,   3.589792680833230E-003,   3.591729700530654E-003,   3.587855661307423E-003
   2.999929006952318E+004,   2.999929006962318E+004,   2.999929006942318E+004,   2.999928977279044E+004,  -2.967327345686499E-004,   5.417597397590920E-003,   5.419423206418305E-003,   5.415771678944027E-003
   2.999923490751231E+004,   2.999923490761231E+004,   2.999923490741231E+004,   2.999923444185971E+004,  -4.656525998143479E-004,   7.837714991975046E-003,   7.839398131414739E-003,   7.836031770020185E-003
   2.999917535443137E+004,   2.999917535453137E+004,   2.999917535433137E+004,   2.999917464939975E+004,  -7.050316235108767E-004,   1.070219639213850E-002,   1.070371437772483E-002,   1.070067840670541E-002
   2.999910987949271E+004,   2.999910987959271E+004,   2.999910987939271E+004,   2.999910887690394E+004,  -1.002588771370938E-003,   1.358056283555298E-002,   1.358191742893273E-002,   1.357920830897911E-002
   2.999903781502451E+004,   2.999903781512451E+004,   2.999903781492450E+004,   2.999903651458758E+004,  -1.300436928431736E-003,   1.591084915437231E-002,   1.591207263400904E-002,   1.590962561486128E-002
   2.999896017188517E+004,   2.999896017198517E+004,   2.999896017178517E+004,   2.999895863718200E+004,  -1.534703169454588E-003,   1.745998487860043E-002,   1.746112256549287E-002,   1.745884719157144E-002
   2.999887910897873E+004,   2.999887910907873E+004,   2.999887910887873E+004,   2.999887736532703E+004,  -1.743651704600779E-003,   1.860826439857892E-002,   1.860933163372588E-002,   1.860719721593616E-002
   2.999879658492466E+004,   2.999879658502467E+004,   2.999879658482466E+004,   2.999879454167534E+004,  -2.043249329290120E-003,   2.024100197106448E-002,   2.024199258247171E-002,   2.024001131118815E-002
   2.999871412717150E+004,   2.999871412727150E+004,   2.999871412707150E+004,   2.999871132486884E+004,  -2.802302664349554E-003,   2.626915689236011E-002,   2.627009431275746E-002,   2.626821947195137E-002
   2.999863131083558E+004,   2.999863131093558E+004,   2.999863131073558E+004,   2.999862827307604E+004,  -3.037759546714369E-003,   2.674862968168650E-002,   2.674951022647857E-002,   2.674774913690340E-002
   2.999854807666130E+004,   2.999854807676130E+004,   2.999854807656130E+004,   2.999854535178631E+004,  -2.724874982959591E-003,   2.057822093232213E-002,   2.057897613652488E-002,   2.057746572758768E-002
   2.999811780620202E+004,   2.999811780630202E+004,   2.999811780610202E+004,   2.999810875843224E+004,  -9.047769781318493E-003,   9.047769779605351E-003,   9.047769795100330E-003,   9.047769763771620E-003
   2.787075774135350E+002,   2.787075775135350E+002,   2.787075773135350E+002,   2.782328048718567E+002,  -4.747725416783055E-001,   9.016358653267817E-003,   9.016358653610581E-003,   9.016358652925417E-003
   2.738721451186493E+002,   2.738721452186493E+002,   2.738721450186493E+002,   2.733966487214995E+002,  -4.754963971498114E-001,   9.043872948098042E-003,   9.043872948781192E-003,   9.043872947413930E-003
