  0.7071E+00,  -0.7071E+00
  0.7166E+00,  -0.7103E+00
  0.7261E+00,  -0.7134E+00
  0.7356E+00,  -0.7164E+00
  0.7452E+00,  -0.7193E+00
  0.7548E+00,  -0.7222E+00
  0.7644E+00,  -0.7249E+00
  0.7740E+00,  -0.7276E+00
  0.7837E+00,  -0.7303E+00
  0.7933E+00,  -0.7328E+00
  0.8030E+00,  -0.7353E+00
  0.8127E+00,  -0.7377E+00
  0.8225E+00,  -0.7400E+00
  0.8322E+00,  -0.7422E+00
  0.8420E+00,  -0.7444E+00
  0.8518E+00,  -0.7465E+00
  0.8616E+00,  -0.7485E+00
  0.8714E+00,  -0.7504E+00
  0.8812E+00,  -0.7522E+00
  0.8910E+00,  -0.7540E+00
  0.9009E+00,  -0.7557E+00
  0.9108E+00,  -0.7572E+00
  0.9207E+00,  -0.7588E+00
  0.9306E+00,  -0.7602E+00
  0.9405E+00,  -0.7616E+00
  0.9504E+00,  -0.7628E+00
  0.9603E+00,  -0.7640E+00
  0.9703E+00,  -0.7651E+00
  0.9802E+00,  -0.7661E+00
  0.9902E+00,  -0.7671E+00
  0.1000E+01,  -0.7679E+00
  0.1010E+01,  -0.7687E+00
  0.1020E+01,  -0.7694E+00
  0.1030E+01,  -0.7700E+00
  0.1040E+01,  -0.7705E+00
  0.1050E+01,  -0.7710E+00
  0.1060E+01,  -0.7713E+00
  0.1070E+01,  -0.7716E+00
  0.1080E+01,  -0.7718E+00
  0.1090E+01,  -0.7719E+00
  0.1100E+01,  -0.7719E+00
  0.1110E+01,  -0.7718E+00
  0.1120E+01,  -0.7717E+00
  0.1130E+01,  -0.7714E+00
  0.1140E+01,  -0.7711E+00
  0.1150E+01,  -0.7707E+00
  0.1160E+01,  -0.7702E+00
  0.1170E+01,  -0.7696E+00
  0.1180E+01,  -0.7689E+00
  0.1190E+01,  -0.7681E+00
  0.1200E+01,  -0.7673E+00
  0.1210E+01,  -0.7663E+00
  0.1220E+01,  -0.7653E+00
  0.1230E+01,  -0.7642E+00
  0.1240E+01,  -0.7630E+00
  0.1250E+01,  -0.7617E+00
  0.1259E+01,  -0.7603E+00
  0.1269E+01,  -0.7588E+00
  0.1279E+01,  -0.7572E+00
  0.1289E+01,  -0.7556E+00
  0.1299E+01,  -0.7538E+00
  0.1309E+01,  -0.7520E+00
  0.1319E+01,  -0.7500E+00
  0.1328E+01,  -0.7480E+00
  0.1338E+01,  -0.7459E+00
  0.1348E+01,  -0.7437E+00
  0.1358E+01,  -0.7414E+00
  0.1367E+01,  -0.7390E+00
  0.1377E+01,  -0.7365E+00
  0.1387E+01,  -0.7339E+00
  0.1396E+01,  -0.7313E+00
  0.1406E+01,  -0.7285E+00
  0.1416E+01,  -0.7256E+00
  0.1425E+01,  -0.7227E+00
  0.1435E+01,  -0.7197E+00
  0.1444E+01,  -0.7165E+00
  0.1454E+01,  -0.7133E+00
  0.1463E+01,  -0.7100E+00
  0.1472E+01,  -0.7066E+00
  0.1482E+01,  -0.7030E+00
  0.1491E+01,  -0.6994E+00
  0.1500E+01,  -0.6957E+00
  0.1510E+01,  -0.6920E+00
  0.1519E+01,  -0.6881E+00
  0.1528E+01,  -0.6841E+00
  0.1537E+01,  -0.6800E+00
  0.1546E+01,  -0.6759E+00
  0.1555E+01,  -0.6716E+00
  0.1564E+01,  -0.6672E+00
  0.1573E+01,  -0.6628E+00
  0.1582E+01,  -0.6582E+00
  0.1591E+01,  -0.6536E+00
  0.1600E+01,  -0.6489E+00
  0.1609E+01,  -0.6440E+00
  0.1617E+01,  -0.6391E+00
  0.1626E+01,  -0.6341E+00
  0.1635E+01,  -0.6290E+00
  0.1643E+01,  -0.6238E+00
  0.1652E+01,  -0.6185E+00
  0.1660E+01,  -0.6131E+00
  0.1668E+01,  -0.6076E+00
  0.1677E+01,  -0.6020E+00
  0.1685E+01,  -0.5963E+00
  0.1693E+01,  -0.5906E+00
  0.1701E+01,  -0.5847E+00
  0.1709E+01,  -0.5788E+00
  0.1717E+01,  -0.5727E+00
  0.1725E+01,  -0.5666E+00
  0.1733E+01,  -0.5604E+00
  0.1741E+01,  -0.5540E+00
  0.1748E+01,  -0.5476E+00
  0.1756E+01,  -0.5411E+00
  0.1763E+01,  -0.5345E+00
  0.1771E+01,  -0.5279E+00
  0.1778E+01,  -0.5211E+00
  0.1785E+01,  -0.5142E+00
  0.1793E+01,  -0.5073E+00
  0.1800E+01,  -0.5003E+00
  0.1807E+01,  -0.4931E+00
  0.1814E+01,  -0.4859E+00
  0.1821E+01,  -0.4786E+00
  0.1827E+01,  -0.4713E+00
  0.1834E+01,  -0.4638E+00
  0.1841E+01,  -0.4563E+00
  0.1847E+01,  -0.4486E+00
  0.1853E+01,  -0.4409E+00
  0.1860E+01,  -0.4331E+00
  0.1866E+01,  -0.4253E+00
  0.1872E+01,  -0.4173E+00
  0.1878E+01,  -0.4093E+00
  0.1884E+01,  -0.4012E+00
  0.1889E+01,  -0.3930E+00
  0.1895E+01,  -0.3847E+00
  0.1901E+01,  -0.3764E+00
  0.1906E+01,  -0.3680E+00
  0.1911E+01,  -0.3595E+00
  0.1917E+01,  -0.3510E+00
  0.1922E+01,  -0.3424E+00
  0.1927E+01,  -0.3337E+00
  0.1931E+01,  -0.3249E+00
  0.1936E+01,  -0.3161E+00
  0.1941E+01,  -0.3072E+00
  0.1945E+01,  -0.2983E+00
  0.1950E+01,  -0.2893E+00
  0.1954E+01,  -0.2802E+00
  0.1958E+01,  -0.2711E+00
  0.1962E+01,  -0.2619E+00
