  0.7071E+00,  -0.7071E+00
  0.8031E+00,  -0.7350E+00
  0.9011E+00,  -0.7551E+00
  0.1000E+01,  -0.7670E+00
  0.1100E+01,  -0.7705E+00
  0.1200E+01,  -0.7653E+00
  0.1299E+01,  -0.7513E+00
  0.1396E+01,  -0.7280E+00
  0.1491E+01,  -0.6954E+00
  0.1582E+01,  -0.6533E+00
  0.1667E+01,  -0.6017E+00
  0.1747E+01,  -0.5408E+00
  0.1818E+01,  -0.4707E+00
  0.1880E+01,  -0.3922E+00
  0.1931E+01,  -0.3062E+00
  0.1969E+01,  -0.2139E+00
  0.1994E+01,  -0.1170E+00
  0.2004E+01,  -0.1748E-01
  0.1999E+01,   0.8240E-01
  0.1980E+01,   0.1805E+00
  0.1946E+01,   0.2746E+00
  0.1899E+01,   0.3630E+00
  0.1841E+01,   0.4443E+00
  0.1773E+01,   0.5174E+00
  0.1696E+01,   0.5816E+00
  0.1612E+01,   0.6364E+00
  0.1523E+01,   0.6819E+00
  0.1430E+01,   0.7177E+00
  0.1334E+01,   0.7442E+00
  0.1235E+01,   0.7615E+00
  0.1135E+01,   0.7697E+00
  0.1035E+01,   0.7692E+00
  0.9358E+00,   0.7602E+00
  0.8373E+00,   0.7430E+00
  0.7405E+00,   0.7178E+00
  0.6461E+00,   0.6849E+00
