   2.041376616770806E-002
  -1.136577063193687E+000,  -5.020763439490231E+008,   5.333442856174064E-004,   3.000000000000000E+004,   2.674921249963919E+007,   0.000000000000000E+000,   3.013311888141314E+010,   3.010606207659439E+010,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   1.790688451880867E+005,  -8.073233085049659E-016,  -0.000000000000000E+000,   1.670735203294793E-007
  -1.135156341864695E+000,  -5.016103444927261E+008,   5.234019964642634E-004,   2.999994688858691E+004,   2.674921249963919E+007,   0.000000000000000E+000,   9.387175594466917E+009,   9.370346628216143E+009,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   1.790688900785231E+005,  -1.639487727493797E-012,  -2.044981614444505E-026,   1.086403464148257E-003
  -1.133735620535703E+000,  -5.011431403755090E+008,   5.136791739278035E-004,   2.999989414336820E+004,   2.674921249963919E+007,   0.000000000000000E+000,   4.628970220949738E+009,   4.601738426033757E+009,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   1.790699433631634E+005,   2.722900524100359E-014,  -2.168795440226188E-026,   3.650417249184809E-005
  -1.132314899206710E+000,  -5.006747345106925E+008,   5.041702527207370E-004,   2.999984179920911E+004,   2.674921249963919E+007,   0.000000000000000E+000,   2.451050066912676E+009,   2.424938375809984E+009,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   1.790940024771390E+005,  -1.522352651845713E-013,  -1.217922108373348E-026,   3.834029914979836E-004
  -1.130894177877718E+000,  -5.002051298179806E+008,   4.948698265437798E-004,   2.999978962403847E+004,   2.674921249963919E+007,   0.000000000000000E+000,   1.348137641503958E+009,   1.321308171642498E+009,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   1.796521155464624E+005,  -3.732384918858492E-014,  -2.618704067234628E-027,   1.694229670002915E-004
  -1.129473456548726E+000,  -4.997343292234297E+008,   4.857726430413146E-004,   2.999973738147043E+004,   2.674921249963919E+007,   0.000000000000000E+000,   7.604697876125298E+008,   7.331700311200328E+008,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   1.955532655781586E+005,   3.547673086108949E-014,   1.263477559862321E-026,   2.813187762681383E-004
  -1.128052735219734E+000,  -4.992623356594211E+008,   4.768735989328627E-004,   2.999968468902549E+004,   2.674921249963919E+007,   0.000000000000000E+000,   4.372796568060576E+008,   4.100049735510523E+008,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   2.061583095164909E+005,   2.976043997625751E-014,   3.744670702663947E-026,   4.003786345200249E-004
  -1.126632013890742E+000,  -4.987891520646294E+008,   4.681677353136782E-004,   2.999963091797465E+004,   2.674921249963919E+007,   0.000000000000000E+000,   2.556885439765315E+008,   2.287025448833235E+008,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   2.061583095216838E+005,  -1.649186188833584E-014,   8.079485536292514E-026,   3.643824215797836E-004
  -1.125211292561750E+000,  -4.983147813839958E+008,   4.596502331180707E-004,   2.999957496121019E+004,   2.674921249967860E+007,   0.000000000000000E+000,   1.524574297504162E+008,   1.254686411476244E+008,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   2.061583096496485E+005,  -1.604493319497612E-014,   1.413822347881182E-025,   5.586658234580145E-004
  -1.123790571232758E+000,  -4.978392265686959E+008,   4.513164087393218E-004,   2.999951525809655E+004,   2.674921249967860E+007,   0.000000000000000E+000,   9.357694271363281E+007,   6.649315442614046E+007,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   2.061583126301955E+005,  -8.243061660501633E-016,   2.153061178630869E-025,   4.275715797596795E-005
  -1.122369849903766E+000,  -4.973624905761119E+008,   4.431617098003176E-004,   2.999944988686969E+004,   2.674921249972793E+007,   0.000000000000000E+000,   6.040633173020521E+007,   3.333130195753739E+007,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   2.061583786540877E+005,  -2.227585516381520E-015,   2.828354030474306E-025,   1.595123579779188E-004
  -1.120949128574774E+000,  -4.968845763698018E+008,   4.351817110692331E-004,   2.999937706707514E+004,   2.674921261343870E+007,   0.000000000000000E+000,   4.258386955462148E+007,   1.550847662214102E+007,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   2.061597827273517E+005,  -2.169607638624138E-015,   2.817073148154975E-025,   1.952935469091782E-004
  -1.119528407245782E+000,  -4.964054869194707E+008,   4.273721105148729E-004,   2.999929677447998E+004,   2.674921299393456E+007,   0.000000000000000E+000,   3.377208225102695E+007,   6.699658620798438E+006,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   0.000000000000000E+000,   5.363198738895630E+007,   2.061889422384825E+005,  -2.649953213939635E-015,   1.973437093270630E-025,   2.732500582218269E-004
